# ---------------------------------------------------------
# bandgap raw 220  ->  rail now 5.0568 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=256  prescaler=/32  adc_off=14.40mV  vbg_cal=1112.5
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.3489,1.75321,1.78808,0.03487,0.03441,0.00000,5.0339
2,0.6681,1.78098,1.84790,0.06692,0.06588,0.00000,5.0339
3,0.9741,1.80825,1.90552,0.09727,0.09606,0.00000,5.0568
4,1.5662,1.82522,1.98134,0.15612,0.15445,0.00000,5.0339
5,1.8461,1.83640,2.02015,0.18375,0.18204,0.00000,5.0339
6,2.1000,1.84598,2.05523,0.20925,0.20708,0.00000,5.0339
7,2.3925,1.85481,2.09252,0.23771,0.23593,0.00000,5.0339
8,2.8325,1.85856,2.14028,0.28172,0.27932,0.00000,5.0113
9,3.1015,1.87325,2.18211,0.30886,0.30584,0.00000,5.0339
10,3.3424,1.88056,2.21281,0.33225,0.32960,0.00000,5.0339
11,3.5909,1.88519,2.24210,0.35690,0.35410,0.00000,5.0339
12,4.0793,1.89752,2.30047,0.40295,0.40226,0.00000,5.0339
13,4.2700,1.89507,2.31952,0.42445,0.42106,0.00000,5.0113
14,4.5110,1.89889,2.34441,0.44551,0.44483,0.00000,5.0113
15,4.7219,1.90102,2.37018,0.46916,0.46562,0.00000,5.0113
16,6.8018,1.94028,2.61517,0.67489,0.67072,0.00000,5.0113
17,6.9862,1.94401,2.63723,0.69322,0.68890,0.00000,5.0113
18,7.1967,1.95649,2.66938,0.71289,0.70966,0.00000,5.0339
19,7.3398,1.94969,2.67673,0.72704,0.72377,0.00000,5.0113
20,7.7226,1.96423,2.72828,0.76404,0.76153,0.00000,5.0339
21,7.8866,1.96688,2.74828,0.78140,0.77770,0.00000,5.0339
22,8.0179,1.96215,2.75493,0.79278,0.79064,0.00000,5.0113
23,8.1782,1.96072,2.77155,0.81083,0.80645,0.00000,5.0113
24,8.4333,1.96737,2.80097,0.83360,0.83161,0.00000,5.0113
25,8.5845,1.96875,2.82024,0.85149,0.84652,0.00000,5.0113
26,8.7367,1.96983,2.83591,0.86608,0.86153,0.00000,5.0113
27,8.8840,1.97284,2.85346,0.88062,0.87605,0.00000,5.0113
28,9.1814,1.97819,2.88823,0.91004,0.90538,0.00000,5.0113
29,9.3225,1.98029,2.90385,0.92356,0.91930,0.00000,5.0113
30,9.4705,1.98088,2.91867,0.93778,0.93388,0.00000,5.0113
31,9.6104,1.98199,2.93419,0.95220,0.94768,0.00000,5.0113
32,8.9614,1.97486,2.86367,0.88881,0.88368,0.00000,5.0113
33,9.1048,1.97555,2.87887,0.90331,0.89783,0.00000,5.0113
34,9.2603,1.98037,2.89597,0.91561,0.91316,0.00000,5.0113
35,9.4001,1.97914,2.91045,0.93130,0.92694,0.00000,5.0113
36,9.7175,1.99478,2.95760,0.96281,0.95824,0.00000,5.0339
37,9.8140,1.98685,2.95818,0.97133,0.96776,0.00000,5.0113
38,9.9448,1.98794,2.97342,0.98548,0.98066,0.00000,5.0113
39,10.0569,1.99216,2.98957,0.99741,0.99171,0.00000,5.0113
40,10.2736,1.99411,3.01239,1.01828,1.01308,0.00000,5.0113
41,10.4136,1.99444,3.02532,1.03088,1.02688,0.00000,5.0113
42,10.5225,1.99790,3.04120,1.04330,1.03763,0.00000,5.0113
43,10.6996,2.00834,3.06880,1.06046,1.05508,0.00000,5.0339
44,10.8938,2.00400,3.08314,1.07915,1.07423,0.00000,5.0113
45,11.0717,2.01395,3.11015,1.09620,1.09178,0.00000,5.0339
46,11.1392,2.00463,3.10843,1.10381,1.09844,0.00000,5.0113
47,11.2567,2.00828,3.12287,1.11459,1.11002,0.00000,5.0113
48,12.3427,2.02126,3.24386,1.22260,1.21711,0.00000,5.0113
49,12.4468,2.02393,3.25590,1.23196,1.22738,0.00000,5.0113
50,12.5274,2.02365,3.26569,1.24204,1.23533,0.00000,5.0113
51,12.6402,2.02646,3.27796,1.25150,1.24645,0.00000,5.0113
52,12.8116,2.02797,3.29874,1.27077,1.26335,0.00000,5.0113
53,12.9188,2.02868,3.30904,1.28037,1.27393,0.00000,5.0113
54,13.0039,2.03068,3.31902,1.28834,1.28232,0.00000,5.0113
55,13.1086,2.03070,3.32990,1.29920,1.29264,0.00000,5.0113
56,13.2253,2.03349,3.34431,1.31082,1.30415,0.00000,5.0113
57,13.3263,2.03489,3.35563,1.32074,1.31411,0.00000,5.0113
58,13.4265,2.03472,3.36437,1.32965,1.32399,0.00000,5.0113
59,13.5076,2.03607,3.37490,1.33883,1.33198,0.00000,5.0113
60,13.6766,2.03854,3.39344,1.35490,1.34865,0.00000,5.0113
61,13.8274,2.04855,3.41774,1.36919,1.36352,0.00000,5.0339
62,13.8366,2.04059,3.41252,1.37194,1.36442,0.00000,5.0113
63,13.9310,2.04095,3.42110,1.38016,1.37373,0.00000,5.0113
# i_max=13.931 mA  v_die@i_max=2.0409 V  rail 5.0113 to 5.0568 V  sag=45.6 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
