# ---------------------------------------------------------
# bandgap raw 220  ->  rail now 5.0568 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1112.5
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.2841,2.50716,2.53571,0.02855,0.02801,0.00000,5.0113
2,0.4966,2.55107,2.60027,0.04920,0.04897,0.00000,5.0339
3,0.7466,2.57051,2.64436,0.07385,0.07362,0.00000,5.0339
4,1.1953,2.60346,2.72217,0.11871,0.11787,0.00000,5.0339
5,1.3978,2.61682,2.75581,0.13899,0.13784,0.00000,5.0339
6,1.6198,2.62297,2.78385,0.16088,0.15973,0.00000,5.0339
7,1.8067,2.63572,2.81649,0.18077,0.17816,0.00000,5.0339
8,2.1386,2.65431,2.86650,0.21219,0.21088,0.00000,5.0339
9,2.3427,2.66268,2.89453,0.23185,0.23101,0.00000,5.0339
10,2.5265,2.66936,2.91973,0.25037,0.24914,0.00000,5.0339
11,2.6908,2.67881,2.94538,0.26657,0.26534,0.00000,5.0339
12,3.0453,2.69479,2.99831,0.30352,0.30029,0.00000,5.0339
13,3.2275,2.70032,3.01951,0.31919,0.31827,0.00000,5.0339
14,3.3794,2.70815,3.04240,0.33424,0.33325,0.00000,5.0339
15,3.5368,2.71583,3.06606,0.35022,0.34876,0.00000,5.0339
16,5.0041,2.75911,3.25525,0.49613,0.49346,0.00000,5.0113
17,5.1119,2.76340,3.27192,0.50852,0.50409,0.00000,5.0113
18,5.2777,2.78189,3.30302,0.52113,0.52044,0.00000,5.0339
19,5.3844,2.78304,3.31838,0.53534,0.53096,0.00000,5.0339
20,5.6384,2.79218,3.35226,0.56007,0.55600,0.00000,5.0339
21,5.7630,2.79679,3.36708,0.57029,0.56829,0.00000,5.0339
22,5.8517,2.78878,3.36681,0.57803,0.57704,0.00000,5.0113
23,5.9858,2.80171,3.39627,0.59456,0.59026,0.00000,5.0339
24,6.1665,2.81047,3.42054,0.61008,0.60808,0.00000,5.0339
25,6.2510,2.80056,3.42042,0.61986,0.61642,0.00000,5.0113
26,6.3791,2.81531,3.44858,0.63327,0.62905,0.00000,5.0339
27,6.4773,2.81945,3.46187,0.64241,0.63873,0.00000,5.0339
28,6.6473,2.81455,3.47432,0.65977,0.65549,0.00000,5.0113
29,6.7897,2.82867,3.50196,0.67329,0.66953,0.00000,5.0339
30,6.8769,2.83036,3.51202,0.68166,0.67813,0.00000,5.0339
31,6.9766,2.83581,3.52746,0.69165,0.68796,0.00000,5.0339
32,6.5015,2.80943,3.45482,0.64540,0.64111,0.00000,5.0113
33,6.6139,2.81065,3.46622,0.65557,0.65220,0.00000,5.0113
34,6.7297,2.82683,3.49497,0.66814,0.66361,0.00000,5.0339
35,6.8086,2.81876,3.49375,0.67499,0.67139,0.00000,5.0113
36,7.0017,2.82365,3.51837,0.69472,0.69043,0.00000,5.0113
37,7.0947,2.82602,3.52976,0.70374,0.69961,0.00000,5.0113
38,7.2235,2.84096,3.55727,0.71631,0.71231,0.00000,5.0339
39,7.3139,2.84380,3.56863,0.72483,0.72122,0.00000,5.0339
40,7.4588,2.85079,3.58830,0.73751,0.73551,0.00000,5.0339
41,7.5328,2.85056,3.59813,0.74757,0.74281,0.00000,5.0339
42,7.5933,2.83979,3.59330,0.75352,0.74878,0.00000,5.0113
43,7.6848,2.84606,3.60516,0.75910,0.75780,0.00000,5.0113
44,7.8515,2.84682,3.62504,0.77822,0.77424,0.00000,5.0113
45,7.9698,2.86170,3.65213,0.79043,0.78590,0.00000,5.0339
46,8.0059,2.85355,3.64607,0.79252,0.78946,0.00000,5.0113
47,8.0826,2.85386,3.65539,0.80154,0.79703,0.00000,5.0113
48,8.8294,2.87595,3.75113,0.87518,0.87066,0.00000,5.0113
49,8.8829,2.87833,3.75878,0.88045,0.87594,0.00000,5.0113
50,8.9496,2.88024,3.76803,0.88779,0.88252,0.00000,5.0113
51,9.0634,2.89527,3.79216,0.89689,0.89374,0.00000,5.0339
52,9.1450,2.88605,3.79196,0.90591,0.90179,0.00000,5.0113
53,9.2612,2.89964,3.81750,0.91786,0.91325,0.00000,5.0339
54,9.2768,2.88849,3.80710,0.91861,0.91478,0.00000,5.0113
55,9.3256,2.89018,3.81475,0.92457,0.91960,0.00000,5.0113
56,9.4296,2.89278,3.82706,0.93428,0.92985,0.00000,5.0113
57,9.4792,2.89377,3.83341,0.93964,0.93474,0.00000,5.0113
58,9.5428,2.89614,3.84174,0.94560,0.94101,0.00000,5.0113
59,9.6126,2.89499,3.84740,0.95241,0.94789,0.00000,5.0113
60,9.7149,2.90042,3.86315,0.96273,0.95799,0.00000,5.0113
61,9.7622,2.90211,3.87034,0.96823,0.96265,0.00000,5.0113
62,9.8235,2.90371,3.87692,0.97320,0.96869,0.00000,5.0113
63,9.8747,2.90601,3.88472,0.97871,0.97374,0.00000,5.0113
# i_max=9.875 mA  v_die@i_max=2.9060 V  rail 5.0113 to 5.0339 V  sag=22.7 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
