# ---------------------------------------------------------
# bandgap raw 220.906  ->  rail now 5.0279 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.2824,2.49992,2.52823,0.02831,0.02785,0.00000,5.0081
2,0.4973,2.53485,2.58435,0.04950,0.04904,0.00000,5.0219
3,0.7500,2.55499,2.62925,0.07427,0.07396,0.00000,5.0237
4,1.1941,2.58443,2.70403,0.11959,0.11775,0.00000,5.0247
5,1.4009,2.59805,2.73811,0.14006,0.13814,0.00000,5.0244
6,1.6203,2.60576,2.76730,0.16154,0.15977,0.00000,5.0222
7,1.8187,2.62015,2.80156,0.18141,0.17934,0.00000,5.0254
8,2.1455,2.63612,2.84968,0.21356,0.21157,0.00000,5.0240
9,2.3441,2.64085,2.87415,0.23330,0.23115,0.00000,5.0230
10,2.5316,2.65117,2.90151,0.25033,0.24964,0.00000,5.0251
11,2.6969,2.65938,2.92816,0.26878,0.26594,0.00000,5.0244
12,3.0756,2.67164,2.97546,0.30382,0.30328,0.00000,5.0205
13,3.2335,2.67658,2.99781,0.32123,0.31885,0.00000,5.0208
14,3.3886,2.68534,3.02263,0.33729,0.33415,0.00000,5.0240
15,3.5556,2.68925,3.04217,0.35291,0.35061,0.00000,5.0226
16,5.0675,2.74693,3.24740,0.50047,0.49970,0.00000,5.0237
17,5.2018,2.74596,3.26082,0.51486,0.51295,0.00000,5.0212
18,5.2936,2.74709,3.27154,0.52445,0.52200,0.00000,5.0137
19,5.4550,2.75609,3.29577,0.53968,0.53792,0.00000,5.0233
20,5.6998,2.76145,3.32542,0.56398,0.56206,0.00000,5.0226
21,5.8032,2.76703,3.34219,0.57516,0.57225,0.00000,5.0212
22,5.9194,2.76808,3.35555,0.58747,0.58371,0.00000,5.0230
23,6.0383,2.77244,3.37086,0.59842,0.59543,0.00000,5.0222
24,6.2218,2.77751,3.39448,0.61698,0.61353,0.00000,5.0230
25,6.3208,2.78160,3.40865,0.62705,0.62329,0.00000,5.0226
26,6.4381,2.78742,3.42488,0.63746,0.63486,0.00000,5.0244
27,6.5392,2.78499,3.43150,0.64651,0.64483,0.00000,5.0159
28,6.7481,2.79591,3.46472,0.66880,0.66543,0.00000,5.0237
29,6.8369,2.78978,3.46442,0.67464,0.67418,0.00000,5.0063
30,6.9264,2.79037,3.47506,0.68469,0.68301,0.00000,5.0049
31,7.0592,2.80283,3.50231,0.69949,0.69611,0.00000,5.0244
32,6.5927,2.78706,3.43984,0.65279,0.65011,0.00000,5.0159
33,6.6886,2.79139,3.45317,0.66179,0.65957,0.00000,5.0162
34,6.8158,2.79544,3.47084,0.67540,0.67210,0.00000,5.0254
35,6.8705,2.79533,3.47636,0.68102,0.67750,0.00000,5.0141
36,7.0832,2.79210,3.49317,0.70107,0.69847,0.00000,5.0035
37,7.1944,2.80181,3.51431,0.71250,0.70944,0.00000,5.0127
38,7.2806,2.81109,3.53240,0.72131,0.71794,0.00000,5.0237
39,7.3894,2.81027,3.54147,0.73120,0.72867,0.00000,5.0226
40,7.5008,2.81074,3.55460,0.74386,0.73965,0.00000,5.0137
41,7.6299,2.81939,3.57468,0.75530,0.75239,0.00000,5.0244
42,7.6847,2.81499,3.57484,0.75985,0.75779,0.00000,5.0081
43,7.7877,2.82345,3.59561,0.77216,0.76795,0.00000,5.0244
44,7.9689,2.82581,3.61522,0.78941,0.78581,0.00000,5.0219
45,8.0350,2.82425,3.61704,0.79279,0.79233,0.00000,5.0106
46,8.1003,2.82200,3.62329,0.80129,0.79877,0.00000,5.0039
47,8.1817,2.82301,3.63386,0.81085,0.80680,0.00000,5.0063
48,8.9462,2.85123,3.73801,0.88677,0.88218,0.00000,5.0173
49,9.0127,2.84428,3.73424,0.88997,0.88875,0.00000,5.0032
50,9.0638,2.84976,3.74713,0.89737,0.89378,0.00000,5.0070
51,9.1460,2.84848,3.75358,0.90509,0.90188,0.00000,5.0049
52,9.2609,2.84971,3.76674,0.91703,0.91321,0.00000,5.0021
53,9.3499,2.86400,3.79059,0.92659,0.92199,0.00000,5.0215
54,9.4097,2.85482,3.78553,0.93072,0.92789,0.00000,5.0060
55,9.4706,2.86060,3.79702,0.93642,0.93390,0.00000,5.0091
56,9.5657,2.85646,3.80447,0.94801,0.94327,0.00000,5.0074
57,9.6104,2.85878,3.81058,0.95180,0.94768,0.00000,5.0032
58,9.6819,2.86564,3.82419,0.95855,0.95473,0.00000,5.0102
59,9.7126,2.86313,3.82555,0.96242,0.95776,0.00000,5.0032
60,9.8348,2.86624,3.84032,0.97409,0.96981,0.00000,5.0035
61,9.9045,2.86517,3.84681,0.98165,0.97668,0.00000,5.0035
62,9.9565,2.86809,3.85425,0.98616,0.98181,0.00000,5.0032
63,10.0075,2.86959,3.86010,0.99050,0.98684,0.00000,5.0035
# i_max=10.007 mA  v_die@i_max=2.8696 V  rail 5.0021 to 5.0254 V  sag=23.3 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
