# ---------------------------------------------------------
# bandgap raw 221  ->  rail now 5.0339 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1112.5
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.2996,2.23120,2.26058,0.02939,0.02954,0.00000,5.0113
2,0.5581,2.27870,2.33473,0.05603,0.05503,0.00000,5.0339
3,0.8260,2.30912,2.39188,0.08276,0.08146,0.00000,5.0339
4,1.3090,2.36073,2.49173,0.13100,0.12908,0.00000,5.0339
5,1.5419,2.37886,2.53145,0.15258,0.15205,0.00000,5.0339
6,1.7522,2.39630,2.57116,0.17486,0.17279,0.00000,5.0339
7,1.9820,2.41335,2.60972,0.19637,0.19545,0.00000,5.0339
8,2.3304,2.43100,2.66180,0.23080,0.22980,0.00000,5.0113
9,2.5389,2.45513,2.70635,0.25121,0.25037,0.00000,5.0339
10,2.7306,2.46735,2.73792,0.27057,0.26926,0.00000,5.0339
11,2.9339,2.47818,2.76803,0.28985,0.28931,0.00000,5.0339
12,3.2875,2.50368,2.82909,0.32541,0.32418,0.00000,5.0339
13,3.4791,2.51259,2.85651,0.34392,0.34308,0.00000,5.0339
14,3.6419,2.51835,2.88094,0.36259,0.35913,0.00000,5.0339
15,3.8024,2.53172,2.90974,0.37803,0.37495,0.00000,5.0339
16,5.3751,2.61252,3.14440,0.53188,0.53004,0.00000,5.0339
17,5.5239,2.61721,3.16322,0.54601,0.54471,0.00000,5.0339
18,5.6384,2.62235,3.18204,0.55969,0.55600,0.00000,5.0339
19,5.7747,2.62881,3.20001,0.57121,0.56944,0.00000,5.0339
20,6.0286,2.63764,3.23596,0.59832,0.59448,0.00000,5.0339
21,6.1330,2.64509,3.25409,0.60900,0.60478,0.00000,5.0339
22,6.2701,2.65001,3.27145,0.62144,0.61829,0.00000,5.0339
23,6.3549,2.64182,3.27245,0.63064,0.62666,0.00000,5.0113
24,6.5395,2.65183,3.29899,0.64715,0.64486,0.00000,5.0113
25,6.6775,2.66775,3.32998,0.66223,0.65847,0.00000,5.0339
26,6.7644,2.65933,3.32996,0.67063,0.66704,0.00000,5.0113
27,6.8785,2.67651,3.35917,0.68266,0.67828,0.00000,5.0339
28,7.0916,2.67248,3.37484,0.70236,0.69930,0.00000,5.0113
29,7.1955,2.67493,3.38853,0.71360,0.70955,0.00000,5.0113
30,7.3170,2.69148,3.41716,0.72568,0.72153,0.00000,5.0339
31,7.4222,2.69594,3.43237,0.73643,0.73190,0.00000,5.0339
32,6.9233,2.66827,3.35366,0.68539,0.68271,0.00000,5.0113
33,7.0709,2.68273,3.38352,0.70079,0.69726,0.00000,5.0339
34,7.1745,2.68580,3.39727,0.71147,0.70747,0.00000,5.0339
35,7.2749,2.69018,3.41132,0.72115,0.71738,0.00000,5.0339
36,7.4720,2.69740,3.43798,0.74058,0.73681,0.00000,5.0339
37,7.5764,2.70116,3.45280,0.75164,0.74711,0.00000,5.0339
38,7.6414,2.69205,3.44978,0.75772,0.75352,0.00000,5.0113
39,7.7571,2.70877,3.47738,0.76861,0.76493,0.00000,5.0339
40,7.8880,2.70077,3.48166,0.78089,0.77783,0.00000,5.0113
41,8.0149,2.71606,3.50995,0.79389,0.79035,0.00000,5.0339
42,8.0400,2.70781,3.50560,0.79779,0.79282,0.00000,5.0113
43,8.1377,2.71155,3.51875,0.80720,0.80246,0.00000,5.0113
44,8.3067,2.71706,3.54169,0.82463,0.81913,0.00000,5.0113
45,8.4441,2.73373,3.56917,0.83544,0.83268,0.00000,5.0339
46,8.4742,2.72356,3.56417,0.84061,0.83564,0.00000,5.0113
47,8.5572,2.72646,3.57556,0.84910,0.84382,0.00000,5.0113
48,9.3656,2.76484,3.69322,0.92838,0.92354,0.00000,5.0339
49,9.4133,2.75323,3.68621,0.93298,0.92824,0.00000,5.0113
50,9.5136,2.76945,3.71173,0.94229,0.93814,0.00000,5.0339
51,9.5435,2.75797,3.70357,0.94560,0.94109,0.00000,5.0113
52,9.7216,2.77544,3.73823,0.96280,0.95865,0.00000,5.0339
53,9.7281,2.76584,3.73056,0.96472,0.95929,0.00000,5.0113
54,9.8056,2.76714,3.73775,0.97060,0.96693,0.00000,5.0113
55,9.8630,2.76944,3.74692,0.97749,0.97259,0.00000,5.0113
56,9.9615,2.77211,3.75939,0.98727,0.98230,0.00000,5.0113
57,10.0166,2.77678,3.76833,0.99156,0.98773,0.00000,5.0113
58,10.0708,2.77609,3.77445,0.99836,0.99309,0.00000,5.0113
59,10.1282,2.77800,3.78309,1.00509,0.99874,0.00000,5.0113
60,10.2670,2.78190,3.79877,1.01687,1.01243,0.00000,5.0113
61,10.3221,2.78267,3.80611,1.02344,1.01786,0.00000,5.0113
62,10.3802,2.78473,3.81246,1.02772,1.02360,0.00000,5.0113
63,10.4337,2.78504,3.81957,1.03453,1.02887,0.00000,5.0113
# i_max=10.434 mA  v_die@i_max=2.7850 V  rail 5.0113 to 5.0339 V  sag=22.7 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
