# ---------------------------------------------------------
# bandgap raw 220  ->  rail now 5.0568 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1112.5
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.3486,1.75477,1.78967,0.03491,0.03437,0.00000,5.0339
2,0.6703,1.78234,1.84928,0.06694,0.06609,0.00000,5.0339
3,0.9686,1.80293,1.89951,0.09659,0.09551,0.00000,5.0339
4,1.5668,1.82751,1.98370,0.15619,0.15450,0.00000,5.0339
5,1.8441,1.83788,2.02165,0.18377,0.18185,0.00000,5.0339
6,2.0981,1.85070,2.05936,0.20866,0.20689,0.00000,5.0339
7,2.3909,1.85593,2.09385,0.23792,0.23577,0.00000,5.0339
8,2.8443,1.87014,2.15276,0.28263,0.28048,0.00000,5.0339
9,3.1013,1.87544,2.18356,0.30813,0.30582,0.00000,5.0339
10,3.3413,1.88519,2.21667,0.33148,0.32948,0.00000,5.0339
11,3.5859,1.88980,2.24624,0.35644,0.35360,0.00000,5.0339
12,4.0704,1.90263,2.30539,0.40276,0.40138,0.00000,5.0339
13,4.2682,1.90056,2.32413,0.42357,0.42089,0.00000,5.0113
14,4.5086,1.90407,2.34944,0.44536,0.44460,0.00000,5.0113
15,4.7332,1.91569,2.38604,0.47035,0.46674,0.00000,5.0339
16,6.7977,1.94690,2.62089,0.67399,0.67032,0.00000,5.0113
17,6.9544,1.95187,2.64222,0.69036,0.68577,0.00000,5.0113
18,7.1451,1.95362,2.66264,0.70902,0.70458,0.00000,5.0113
19,7.3598,1.96592,2.69375,0.72783,0.72575,0.00000,5.0339
20,7.6755,1.96280,2.72129,0.75849,0.75688,0.00000,5.0113
21,7.8384,1.96471,2.74148,0.77676,0.77294,0.00000,5.0113
22,7.9958,1.96701,2.75952,0.79252,0.78846,0.00000,5.0113
23,8.1416,1.97098,2.77849,0.80750,0.80284,0.00000,5.0113
24,8.4083,1.97733,2.80900,0.83167,0.82914,0.00000,5.0113
25,8.5541,1.97710,2.82635,0.84925,0.84352,0.00000,5.0113
26,8.7138,1.97901,2.84272,0.86371,0.85927,0.00000,5.0113
27,8.8705,1.98329,2.86053,0.87724,0.87472,0.00000,5.0113
28,9.1659,1.98551,2.89318,0.90767,0.90385,0.00000,5.0113
29,9.2822,1.98880,2.90871,0.91991,0.91532,0.00000,5.0113
30,9.4770,2.00049,2.93916,0.93868,0.93453,0.00000,5.0339
31,9.6203,2.00156,2.95483,0.95327,0.94866,0.00000,5.0339
32,8.9309,1.98199,2.86764,0.88565,0.88068,0.00000,5.0113
33,9.0760,1.98735,2.88707,0.89972,0.89498,0.00000,5.0113
34,9.2310,1.98742,2.90213,0.91471,0.91027,0.00000,5.0113
35,9.4030,1.99734,2.93025,0.93292,0.92723,0.00000,5.0339
36,9.6428,1.99637,2.95069,0.95432,0.95088,0.00000,5.0113
37,9.7777,1.99683,2.96552,0.96869,0.96418,0.00000,5.0113
38,9.9033,1.99797,2.98043,0.98246,0.97657,0.00000,5.0113
39,10.0243,2.00180,2.99481,0.99301,0.98850,0.00000,5.0113
40,10.2616,2.00394,3.01920,1.01526,1.01190,0.00000,5.0113
41,10.3733,2.00577,3.03319,1.02742,1.02291,0.00000,5.0113
42,10.4935,2.00921,3.04849,1.03927,1.03476,0.00000,5.0113
43,10.6183,2.01044,3.06233,1.05189,1.04707,0.00000,5.0113
44,10.8657,2.01250,3.08825,1.07575,1.07146,0.00000,5.0113
45,11.0365,2.02276,3.11652,1.09376,1.08831,0.00000,5.0339
46,11.0952,2.01449,3.11478,1.10029,1.09410,0.00000,5.0113
47,11.2146,2.01694,3.12755,1.11061,1.10587,0.00000,5.0113
48,12.2855,2.03430,3.25204,1.21774,1.21147,0.00000,5.0113
49,12.4026,2.03567,3.26374,1.22806,1.22302,0.00000,5.0113
50,12.4739,2.03651,3.27253,1.23602,1.23005,0.00000,5.0113
51,12.5895,2.03651,3.28377,1.24726,1.24145,0.00000,5.0113
52,12.7810,2.04255,3.30541,1.26286,1.26033,0.00000,5.0113
53,12.8539,2.04362,3.31688,1.27326,1.26752,0.00000,5.0113
54,12.9648,2.04248,3.32567,1.28320,1.27846,0.00000,5.0113
55,13.0477,2.04447,3.33730,1.29283,1.28664,0.00000,5.0113
56,13.1904,2.04829,3.35198,1.30369,1.30071,0.00000,5.0113
57,13.2703,2.04707,3.36184,1.31478,1.30858,0.00000,5.0113
58,13.3610,2.04699,3.37186,1.32487,1.31753,0.00000,5.0113
59,13.4463,2.04936,3.38142,1.33206,1.32594,0.00000,5.0113
60,13.6138,2.05097,3.40023,1.34926,1.34246,0.00000,5.0113
61,13.6960,2.05357,3.41086,1.35729,1.35056,0.00000,5.0113
62,13.7821,2.05594,3.42026,1.36433,1.35905,0.00000,5.0113
63,13.8612,2.05257,3.42707,1.37450,1.36685,0.00000,5.0113
# i_max=13.861 mA  v_die@i_max=2.0526 V  rail 5.0113 to 5.0339 V  sag=22.7 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
