# ---------------------------------------------------------
# bandgap raw 221.000  ->  rail now 5.0258 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.3497,1.75448,1.78889,0.03441,0.03448,0.00000,5.0237
2,0.6717,1.78022,1.84723,0.06701,0.06624,0.00000,5.0258
3,0.9697,1.80040,1.89671,0.09631,0.09562,0.00000,5.0215
4,1.5608,1.82592,1.98129,0.15537,0.15391,0.00000,5.0237
5,1.8424,1.83463,2.01799,0.18336,0.18168,0.00000,5.0219
6,2.0942,1.84706,2.05556,0.20850,0.20651,0.00000,5.0240
7,2.3895,1.85325,2.09034,0.23708,0.23563,0.00000,5.0254
8,2.8304,1.86309,2.14434,0.28124,0.27910,0.00000,5.0137
9,3.0887,1.87073,2.17830,0.30757,0.30458,0.00000,5.0190
10,3.3240,1.87483,2.20490,0.33007,0.32778,0.00000,5.0067
11,3.5817,1.88650,2.24161,0.35511,0.35319,0.00000,5.0233
12,4.0548,1.89213,2.29274,0.40060,0.39984,0.00000,5.0060
13,4.2612,1.89817,2.32088,0.42272,0.42020,0.00000,5.0046
14,4.5164,1.90646,2.35235,0.44589,0.44536,0.00000,5.0183
15,4.7110,1.90455,2.37223,0.46768,0.46455,0.00000,5.0053
16,6.7842,1.94536,2.61718,0.67181,0.66899,0.00000,5.0028
17,6.9547,1.94884,2.63793,0.68908,0.68580,0.00000,5.0035
18,7.1377,1.95023,2.65828,0.70804,0.70385,0.00000,5.0032
19,7.3196,1.95428,2.67744,0.72316,0.72179,0.00000,5.0032
20,7.6690,1.95926,2.71664,0.75738,0.75624,0.00000,5.0028
21,7.8283,1.96118,2.73718,0.77600,0.77195,0.00000,5.0042
22,7.9825,1.96391,2.75512,0.79120,0.78716,0.00000,5.0028
23,8.1567,1.97057,2.77911,0.80854,0.80433,0.00000,5.0159
24,8.4095,1.97404,2.80444,0.83040,0.82926,0.00000,5.0035
25,8.5500,1.97369,2.82107,0.84739,0.84311,0.00000,5.0028
26,8.7048,1.97605,2.83779,0.86174,0.85838,0.00000,5.0028
27,8.8650,1.97865,2.85474,0.87609,0.87418,0.00000,5.0028
28,9.1544,1.98306,2.88814,0.90508,0.90272,0.00000,5.0032
29,9.2716,1.98515,2.90339,0.91824,0.91427,0.00000,5.0024
30,9.4255,1.98834,2.92130,0.93296,0.92945,0.00000,5.0028
31,9.5632,1.98932,2.93670,0.94738,0.94302,0.00000,5.0032
32,8.9208,1.97895,2.86290,0.88395,0.87968,0.00000,5.0028
33,9.0647,1.98361,2.88214,0.89853,0.89387,0.00000,5.0028
34,9.2157,1.98391,2.89703,0.91311,0.90876,0.00000,5.0028
35,9.3543,1.98475,2.91191,0.92716,0.92242,0.00000,5.0028
36,9.6352,1.99291,2.94593,0.95303,0.95012,0.00000,5.0032
37,9.7630,1.99353,2.96061,0.96708,0.96273,0.00000,5.0028
38,9.8946,1.99468,2.97542,0.98075,0.97571,0.00000,5.0028
39,10.0093,1.99744,2.98957,0.99213,0.98701,0.00000,5.0024
40,10.2468,2.00207,3.01441,1.01234,1.01043,0.00000,5.0032
41,10.3614,2.00185,3.02764,1.02578,1.02174,0.00000,5.0028
42,10.4892,2.00499,3.04284,1.03785,1.03434,0.00000,5.0024
43,10.5976,2.00684,3.05637,1.04953,1.04503,0.00000,5.0021
44,10.8491,2.00841,3.08289,1.07449,1.06983,0.00000,5.0032
45,10.9761,2.01086,3.09733,1.08647,1.08235,0.00000,5.0028
46,11.0875,2.01085,3.10900,1.09815,1.09334,0.00000,5.0032
47,11.1975,2.01330,3.12214,1.10884,1.10418,0.00000,5.0028
48,12.2725,2.02898,3.24482,1.21584,1.21019,0.00000,5.0017
49,12.3808,2.03150,3.25726,1.22576,1.22088,0.00000,5.0017
50,12.4647,2.03300,3.26688,1.23388,1.22915,0.00000,5.0028
51,12.5777,2.03307,3.27817,1.24510,1.24029,0.00000,5.0028
52,12.7697,2.03888,3.29963,1.26075,1.25922,0.00000,5.0028
53,12.8487,2.03895,3.31085,1.27189,1.26701,0.00000,5.0028
54,12.9482,2.03875,3.31893,1.28018,1.27682,0.00000,5.0017
55,13.0276,2.04192,3.33192,1.29000,1.28466,0.00000,5.0032
56,13.1754,2.04292,3.34581,1.30289,1.29922,0.00000,5.0028
57,13.2550,2.04392,3.35603,1.31211,1.30707,0.00000,5.0024
58,13.3519,2.04414,3.36604,1.32189,1.31663,0.00000,5.0028
59,13.4272,2.04455,3.37502,1.33047,1.32406,0.00000,5.0017
60,13.5961,2.04668,3.39320,1.34652,1.34072,0.00000,5.0021
61,13.6797,2.04882,3.40442,1.35560,1.34896,0.00000,5.0021
62,13.7687,2.05156,3.41380,1.36224,1.35774,0.00000,5.0021
63,13.8448,2.04858,3.42076,1.37218,1.36524,0.00000,5.0024
# i_max=13.845 mA  v_die@i_max=2.0486 V  rail 5.0017 to 5.0258 V  sag=24.0 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
