# ---------------------------------------------------------
# bandgap raw 221.078  ->  rail now 5.0240 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.1460,4.97582,4.99022,0.01440,0.01440,0.00000,5.0032
2,0.1460,5.01400,5.02840,0.01440,0.01440,0.00000,5.0237
3,0.1460,5.01845,5.03285,0.01440,0.01440,0.00000,5.0265
4,0.1460,5.01595,5.03035,0.01440,0.01440,0.00000,5.0233
5,0.1460,5.01757,5.03197,0.01440,0.01440,0.00000,5.0251
6,0.1460,5.01813,5.03253,0.01440,0.01440,0.00000,5.0247
7,0.1460,5.01712,5.03152,0.01440,0.01440,0.00000,5.0240
8,0.1460,5.01191,5.02631,0.01440,0.01440,0.00000,5.0258
9,0.1460,5.01248,5.02688,0.01440,0.01440,0.00000,5.0254
10,0.1460,5.01013,5.02453,0.01440,0.01440,0.00000,5.0222
11,0.1460,5.01501,5.02941,0.01440,0.01440,0.00000,5.0254
12,0.1460,5.01413,5.02853,0.01440,0.01440,0.00000,5.0240
13,0.1460,5.01420,5.02860,0.01440,0.01440,0.00000,5.0240
14,0.1460,5.01440,5.02880,0.01440,0.01440,0.00000,5.0244
15,0.1460,5.01484,5.02924,0.01440,0.01440,0.00000,5.0247
16,0.1460,5.01091,5.02531,0.01440,0.01440,0.00000,5.0240
17,0.1460,5.01283,5.02723,0.01440,0.01440,0.00000,5.0258
18,0.1460,5.01183,5.02623,0.01440,0.01440,0.00000,5.0240
19,0.1460,5.01289,5.02729,0.01440,0.01440,0.00000,5.0251
20,0.1460,5.01447,5.02887,0.01440,0.01440,0.00000,5.0254
21,0.1460,5.01447,5.02887,0.01440,0.01440,0.00000,5.0254
22,0.1460,5.01450,5.02890,0.01440,0.01440,0.00000,5.0251
23,0.1460,5.01496,5.02936,0.01440,0.01440,0.00000,5.0251
24,0.1460,5.01118,5.02558,0.01440,0.01440,0.00000,5.0244
25,0.1460,5.01264,5.02704,0.01440,0.01440,0.00000,5.0244
26,0.1460,5.01147,5.02587,0.01440,0.01440,0.00000,5.0237
27,0.1460,5.01277,5.02717,0.01440,0.01440,0.00000,5.0247
28,0.1460,5.01255,5.02695,0.01440,0.01440,0.00000,5.0237
29,0.1460,5.01330,5.02770,0.01440,0.01440,0.00000,5.0247
30,0.1460,5.01182,5.02622,0.01440,0.01440,0.00000,5.0222
31,0.1460,5.01450,5.02890,0.01440,0.01440,0.00000,5.0251
32,0.1460,5.01025,5.02465,0.01440,0.01440,0.00000,5.0237
33,0.1460,5.01494,5.02934,0.01440,0.01440,0.00000,5.0272
34,0.1460,5.01083,5.02523,0.01440,0.01440,0.00000,5.0240
35,0.1460,5.01340,5.02780,0.01440,0.01440,0.00000,5.0254
36,0.1460,5.01216,5.02656,0.01440,0.01440,0.00000,5.0237
37,0.1460,5.01419,5.02859,0.01440,0.01440,0.00000,5.0251
38,0.1460,5.01257,5.02697,0.01440,0.01440,0.00000,5.0233
39,0.1460,5.01384,5.02824,0.01440,0.01440,0.00000,5.0247
40,0.1460,5.00983,5.02423,0.01440,0.01440,0.00000,5.0222
41,0.1460,5.01200,5.02640,0.01440,0.01440,0.00000,5.0247
42,0.1460,5.01069,5.02509,0.01440,0.01440,0.00000,5.0230
43,0.1460,5.01295,5.02735,0.01440,0.01440,0.00000,5.0244
44,0.1460,5.01052,5.02492,0.01440,0.01440,0.00000,5.0222
45,0.1460,5.01412,5.02852,0.01440,0.01440,0.00000,5.0251
46,0.1460,5.01313,5.02753,0.01440,0.01440,0.00000,5.0240
47,0.1460,5.01037,5.02477,0.01440,0.01440,0.00000,5.0212
48,0.1460,5.01347,5.02787,0.01440,0.01440,0.00000,5.0254
49,0.1460,5.01152,5.02592,0.01440,0.01440,0.00000,5.0240
50,0.1460,5.01401,5.02841,0.01440,0.01440,0.00000,5.0254
51,0.1460,5.01304,5.02744,0.01440,0.01440,0.00000,5.0251
52,0.1460,5.01736,5.03176,0.01440,0.01440,0.00000,5.0286
53,0.1460,5.01128,5.02568,0.01440,0.01440,0.00000,5.0222
54,0.1460,5.01396,5.02836,0.01440,0.01440,0.00000,5.0251
55,0.1460,5.01324,5.02764,0.01440,0.01440,0.00000,5.0237
56,0.1460,5.00895,5.02335,0.01440,0.01440,0.00000,5.0208
57,0.1460,5.01307,5.02747,0.01440,0.01440,0.00000,5.0247
58,0.1460,5.01366,5.02806,0.01440,0.01440,0.00000,5.0251
59,0.1460,5.01221,5.02661,0.01440,0.01440,0.00000,5.0240
60,0.1460,5.01257,5.02697,0.01440,0.01440,0.00000,5.0233
61,0.1460,5.01419,5.02859,0.01440,0.01440,0.00000,5.0251
62,0.1460,5.01620,5.03060,0.01440,0.01440,0.00000,5.0269
63,0.1460,5.01430,5.02870,0.01440,0.01440,0.00000,5.0247
# i_max=0.146 mA  v_die@i_max=4.9758 V  rail 5.0032 to 5.0286 V  sag=25.5 mV
# WARNING no current. Open loop: check both F/M jumpers, the link E4-E8, and that GND reaches the rail.
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
