# ---------------------------------------------------------
# bandgap raw 221.000  ->  rail now 5.0258 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.1460,4.99605,5.01045,0.01440,0.01440,0.00000,5.0230
2,0.1460,5.01294,5.02734,0.01440,0.01440,0.00000,5.0226
3,0.1460,5.01444,5.02884,0.01440,0.01440,0.00000,5.0230
4,0.1460,5.01729,5.03169,0.01440,0.01440,0.00000,5.0247
5,0.1460,5.01790,5.03230,0.01440,0.01440,0.00000,5.0247
6,0.1460,5.01727,5.03167,0.01440,0.01440,0.00000,5.0240
7,0.1460,5.01927,5.03367,0.01440,0.01440,0.00000,5.0258
8,0.1460,5.01179,5.02619,0.01440,0.01440,0.00000,5.0254
9,0.1460,5.01202,5.02642,0.01440,0.01440,0.00000,5.0254
10,0.1460,5.02347,5.03787,0.01440,0.01440,0.00000,5.0347
11,0.1460,5.01530,5.02970,0.01440,0.01440,0.00000,5.0265
12,0.1460,5.01575,5.03015,0.01440,0.01440,0.00000,5.0258
13,0.1460,5.01575,5.03015,0.01440,0.01440,0.00000,5.0258
14,0.1460,5.01823,5.03263,0.01440,0.01440,0.00000,5.0283
15,0.1460,5.01554,5.02994,0.01440,0.01440,0.00000,5.0254
16,0.1460,5.01630,5.03070,0.01440,0.01440,0.00000,5.0293
17,0.1460,5.01271,5.02711,0.01440,0.01440,0.00000,5.0254
18,0.1460,5.01235,5.02675,0.01440,0.01440,0.00000,5.0251
19,0.1460,5.01646,5.03086,0.01440,0.01440,0.00000,5.0283
20,0.1460,5.01447,5.02887,0.01440,0.01440,0.00000,5.0254
21,0.1460,5.01526,5.02966,0.01440,0.01440,0.00000,5.0261
22,0.1460,5.01508,5.02948,0.01440,0.01440,0.00000,5.0254
23,0.1460,5.01387,5.02827,0.01440,0.01440,0.00000,5.0244
24,0.1460,5.01286,5.02726,0.01440,0.01440,0.00000,5.0254
25,0.1460,5.01223,5.02663,0.01440,0.01440,0.00000,5.0247
26,0.1460,5.01372,5.02812,0.01440,0.01440,0.00000,5.0261
27,0.1460,5.01406,5.02846,0.01440,0.01440,0.00000,5.0258
28,0.1460,5.01515,5.02955,0.01440,0.01440,0.00000,5.0265
29,0.1460,5.01523,5.02963,0.01440,0.01440,0.00000,5.0265
30,0.1460,5.01432,5.02872,0.01440,0.01440,0.00000,5.0254
31,0.1460,5.01501,5.02941,0.01440,0.01440,0.00000,5.0254
32,0.1460,5.01317,5.02757,0.01440,0.01440,0.00000,5.0254
33,0.1460,5.01405,5.02845,0.01440,0.01440,0.00000,5.0269
34,0.1460,5.01674,5.03114,0.01440,0.01440,0.00000,5.0286
35,0.1460,5.01360,5.02800,0.01440,0.01440,0.00000,5.0258
36,0.1460,5.01784,5.03224,0.01440,0.01440,0.00000,5.0293
37,0.1460,5.01442,5.02882,0.01440,0.01440,0.00000,5.0251
38,0.1460,5.01692,5.03132,0.01440,0.01440,0.00000,5.0283
39,0.1460,5.02900,5.04340,0.01440,0.01440,0.00000,5.0397
40,0.1460,5.01298,5.02738,0.01440,0.01440,0.00000,5.0258
41,0.1460,5.01309,5.02749,0.01440,0.01440,0.00000,5.0254
42,0.1460,5.01730,5.03170,0.01440,0.01440,0.00000,5.0293
43,0.1460,5.01278,5.02718,0.01440,0.01440,0.00000,5.0254
44,0.1460,5.01373,5.02813,0.01440,0.01440,0.00000,5.0251
45,0.1460,5.02195,5.03635,0.01440,0.01440,0.00000,5.0336
46,0.1460,5.01505,5.02945,0.01440,0.01440,0.00000,5.0258
47,0.1460,5.01652,5.03092,0.01440,0.01440,0.00000,5.0276
48,0.1460,5.02446,5.03886,0.01440,0.01440,0.00000,5.0368
49,0.1460,5.01457,5.02897,0.01440,0.01440,0.00000,5.0261
50,0.1460,5.01431,5.02871,0.01440,0.01440,0.00000,5.0265
51,0.1460,5.01697,5.03137,0.01440,0.01440,0.00000,5.0286
52,0.1460,5.01389,5.02829,0.01440,0.01440,0.00000,5.0251
53,0.1460,5.02507,5.03947,0.01440,0.01440,0.00000,5.0368
54,0.1460,5.01455,5.02895,0.01440,0.01440,0.00000,5.0254
55,0.1460,5.01708,5.03148,0.01440,0.01440,0.00000,5.0283
56,0.1460,5.01525,5.02965,0.01440,0.01440,0.00000,5.0272
57,0.1460,5.01236,5.02676,0.01440,0.01440,0.00000,5.0240
58,0.1460,5.02250,5.03690,0.01440,0.01440,0.00000,5.0343
59,0.1460,5.01475,5.02915,0.01440,0.01440,0.00000,5.0258
60,0.1460,5.01229,5.02669,0.01440,0.01440,0.00000,5.0240
61,0.1460,5.01503,5.02943,0.01440,0.01440,0.00000,5.0261
62,0.1460,5.01318,5.02758,0.01440,0.01440,0.00000,5.0244
63,0.1460,5.01356,5.02796,0.01440,0.01440,0.00000,5.0244
# i_max=0.146 mA  v_die@i_max=4.9960 V  rail 5.0226 to 5.0397 V  sag=17.1 mV
# WARNING no current. Open loop: check both F/M jumpers, the link E4-E8, and that GND reaches the rail.
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
