# ---------------------------------------------------------
# bandgap raw 221.016  ->  rail now 5.0254 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.1460,4.99206,5.00646,0.01440,0.01440,0.00000,5.0212
2,0.1460,5.01337,5.02777,0.01440,0.01440,0.00000,5.0230
3,0.1460,5.01619,5.03059,0.01440,0.01440,0.00000,5.0251
4,0.1460,5.01737,5.03177,0.01440,0.01440,0.00000,5.0247
5,0.1460,5.01772,5.03212,0.01440,0.01440,0.00000,5.0251
6,0.1460,5.01806,5.03246,0.01440,0.01440,0.00000,5.0247
7,0.1460,5.01907,5.03347,0.01440,0.01440,0.00000,5.0254
8,0.1460,5.01148,5.02588,0.01440,0.01440,0.00000,5.0254
9,0.1460,5.00980,5.02420,0.01440,0.01440,0.00000,5.0226
10,0.1460,5.01228,5.02668,0.01440,0.01440,0.00000,5.0251
11,0.1460,5.01549,5.02989,0.01440,0.01440,0.00000,5.0261
12,0.1460,5.01362,5.02802,0.01440,0.01440,0.00000,5.0237
13,0.1460,5.01362,5.02802,0.01440,0.01440,0.00000,5.0237
14,0.1460,5.01180,5.02620,0.01440,0.01440,0.00000,5.0215
15,0.1460,5.01484,5.02924,0.01440,0.01440,0.00000,5.0247
16,0.1460,5.01456,5.02896,0.01440,0.01440,0.00000,5.0272
17,0.1460,5.01205,5.02645,0.01440,0.01440,0.00000,5.0251
18,0.1460,5.01175,5.02615,0.01440,0.01440,0.00000,5.0240
19,0.1460,5.01591,5.03031,0.01440,0.01440,0.00000,5.0276
20,0.1460,5.01609,5.03049,0.01440,0.01440,0.00000,5.0272
21,0.1460,5.01427,5.02867,0.01440,0.01440,0.00000,5.0251
22,0.1460,5.01698,5.03138,0.01440,0.01440,0.00000,5.0276
23,0.1460,5.01539,5.02979,0.01440,0.01440,0.00000,5.0254
24,0.1460,5.01209,5.02649,0.01440,0.01440,0.00000,5.0254
25,0.1460,5.01246,5.02686,0.01440,0.01440,0.00000,5.0247
26,0.1460,5.01210,5.02650,0.01440,0.01440,0.00000,5.0244
27,0.1460,5.01335,5.02775,0.01440,0.01440,0.00000,5.0251
28,0.1460,5.01368,5.02809,0.01440,0.01440,0.00000,5.0247
29,0.1460,5.01356,5.02796,0.01440,0.01440,0.00000,5.0244
30,0.1460,5.01475,5.02915,0.01440,0.01440,0.00000,5.0258
31,0.1460,5.01282,5.02722,0.01440,0.01440,0.00000,5.0240
32,0.1460,5.01159,5.02599,0.01440,0.01440,0.00000,5.0251
33,0.1460,5.01301,5.02741,0.01440,0.01440,0.00000,5.0254
34,0.1460,5.01050,5.02490,0.01440,0.01440,0.00000,5.0233
35,0.1460,5.01304,5.02744,0.01440,0.01440,0.00000,5.0251
36,0.1460,5.01393,5.02833,0.01440,0.01440,0.00000,5.0254
37,0.1460,5.01211,5.02651,0.01440,0.01440,0.00000,5.0233
38,0.1460,5.01308,5.02748,0.01440,0.01440,0.00000,5.0237
39,0.1460,5.01128,5.02568,0.01440,0.01440,0.00000,5.0222
40,0.1460,5.01251,5.02691,0.01440,0.01440,0.00000,5.0251
41,0.1460,5.01142,5.02582,0.01440,0.01440,0.00000,5.0233
42,0.1460,5.01238,5.02678,0.01440,0.01440,0.00000,5.0247
43,0.1460,5.01173,5.02613,0.01440,0.01440,0.00000,5.0233
44,0.1460,5.01378,5.02818,0.01440,0.01440,0.00000,5.0254
45,0.1460,5.01282,5.02722,0.01440,0.01440,0.00000,5.0240
46,0.1460,5.01455,5.02895,0.01440,0.01440,0.00000,5.0254
47,0.1460,5.01353,5.02793,0.01440,0.01440,0.00000,5.0247
48,0.1460,5.01320,5.02760,0.01440,0.01440,0.00000,5.0251
49,0.1460,5.01147,5.02587,0.01440,0.01440,0.00000,5.0237
50,0.1460,5.01370,5.02810,0.01440,0.01440,0.00000,5.0254
51,0.1460,5.01170,5.02610,0.01440,0.01440,0.00000,5.0237
52,0.1460,5.01171,5.02611,0.01440,0.01440,0.00000,5.0226
53,0.1460,5.01467,5.02907,0.01440,0.01440,0.00000,5.0258
54,0.1460,5.01419,5.02859,0.01440,0.01440,0.00000,5.0251
55,0.1460,5.01376,5.02816,0.01440,0.01440,0.00000,5.0247
56,0.1460,5.01218,5.02658,0.01440,0.01440,0.00000,5.0244
57,0.1460,5.01320,5.02760,0.01440,0.01440,0.00000,5.0251
58,0.1460,5.01302,5.02742,0.01440,0.01440,0.00000,5.0244
59,0.1460,5.01370,5.02810,0.01440,0.01440,0.00000,5.0254
60,0.1460,5.01389,5.02829,0.01440,0.01440,0.00000,5.0251
61,0.1460,5.01378,5.02818,0.01440,0.01440,0.00000,5.0254
62,0.1460,5.01316,5.02756,0.01440,0.01440,0.00000,5.0237
63,0.1460,5.01376,5.02816,0.01440,0.01440,0.00000,5.0247
# i_max=0.146 mA  v_die@i_max=4.9921 V  rail 5.0212 to 5.0276 V  sag=6.4 mV
# WARNING no current. Open loop: check both F/M jumpers, the link E4-E8, and that GND reaches the rail.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
