# ---------------------------------------------------------
# bandgap raw 220.281  ->  rail now 5.0422 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.2975,2.22325,2.25282,0.02956,0.02933,0.00000,5.0190
2,0.5613,2.26372,2.32060,0.05688,0.05535,0.00000,5.0251
3,0.8364,2.29085,2.37387,0.08302,0.08248,0.00000,5.0244
4,1.3254,2.33608,2.46763,0.13155,0.13070,0.00000,5.0244
5,1.5415,2.35291,2.50698,0.15407,0.15200,0.00000,5.0212
6,1.7733,2.37051,2.54667,0.17616,0.17486,0.00000,5.0244
7,1.9899,2.38688,2.58502,0.19814,0.19623,0.00000,5.0237
8,2.3497,2.41278,2.64679,0.23400,0.23170,0.00000,5.0251
9,2.5554,2.42479,2.67900,0.25421,0.25199,0.00000,5.0244
10,2.7402,2.44079,2.71361,0.27282,0.27021,0.00000,5.0254
11,2.9377,2.44845,2.74074,0.29229,0.28969,0.00000,5.0212
12,3.3193,2.46999,2.79907,0.32908,0.32731,0.00000,5.0201
13,3.4887,2.48293,2.83024,0.34731,0.34402,0.00000,5.0237
14,3.6740,2.49110,2.85392,0.36283,0.36229,0.00000,5.0219
15,3.8434,2.49859,2.88088,0.38229,0.37900,0.00000,5.0251
16,5.4076,2.56876,3.10613,0.53737,0.53324,0.00000,5.0070
17,5.5463,2.57306,3.12334,0.55028,0.54692,0.00000,5.0035
18,5.6924,2.58671,3.15034,0.56363,0.56133,0.00000,5.0180
19,5.8079,2.58991,3.16676,0.57685,0.57272,0.00000,5.0123
20,6.0562,2.59813,3.19877,0.60064,0.59720,0.00000,5.0039
21,6.1891,2.60781,3.22271,0.61490,0.61031,0.00000,5.0159
22,6.3110,2.61582,3.24237,0.62654,0.62233,0.00000,5.0190
23,6.4338,2.61851,3.25471,0.63620,0.63444,0.00000,5.0123
24,6.6036,2.62134,3.27581,0.65447,0.65118,0.00000,5.0039
25,6.7242,2.62988,3.29670,0.66682,0.66307,0.00000,5.0120
26,6.8348,2.63023,3.30536,0.67513,0.67398,0.00000,5.0042
27,6.9473,2.63879,3.32755,0.68875,0.68508,0.00000,5.0141
28,7.1893,2.65085,3.36293,0.71208,0.70894,0.00000,5.0201
29,7.2568,2.65191,3.37163,0.71972,0.71559,0.00000,5.0113
30,7.3732,2.65586,3.38768,0.73182,0.72707,0.00000,5.0173
31,7.4631,2.65780,3.39763,0.73983,0.73593,0.00000,5.0113
32,7.0225,2.64682,3.34337,0.69655,0.69249,0.00000,5.0237
33,7.1051,2.63853,3.34307,0.70453,0.70064,0.00000,5.0032
34,7.2320,2.65124,3.36661,0.71537,0.71315,0.00000,5.0162
35,7.3441,2.66019,3.38684,0.72665,0.72420,0.00000,5.0240
36,7.5147,2.65533,3.40101,0.74568,0.74102,0.00000,5.0032
37,7.6482,2.67040,3.42820,0.75780,0.75419,0.00000,5.0226
38,7.7088,2.66422,3.42728,0.76306,0.76016,0.00000,5.0035
39,7.8076,2.66739,3.44081,0.77342,0.76991,0.00000,5.0039
40,7.9835,2.67697,3.46781,0.79085,0.78725,0.00000,5.0148
41,8.0374,2.67490,3.47182,0.79692,0.79257,0.00000,5.0042
42,8.1666,2.68917,3.49877,0.80960,0.80531,0.00000,5.0240
43,8.2229,2.68117,3.49569,0.81452,0.81086,0.00000,5.0035
44,8.4056,2.68980,3.52035,0.83055,0.82887,0.00000,5.0035
45,8.4809,2.69188,3.53277,0.84089,0.83631,0.00000,5.0074
46,8.5641,2.69365,3.54312,0.84947,0.84451,0.00000,5.0039
47,8.6580,2.69575,3.55272,0.85697,0.85376,0.00000,5.0035
48,9.4223,2.72266,3.65592,0.93325,0.92913,0.00000,5.0032
49,9.4909,2.72618,3.66689,0.94071,0.93590,0.00000,5.0039
50,9.5593,2.72824,3.67546,0.94722,0.94264,0.00000,5.0032
51,9.6321,2.73160,3.68485,0.95325,0.94982,0.00000,5.0032
52,9.7617,2.73638,3.70355,0.96718,0.96260,0.00000,5.0049
53,9.8178,2.73744,3.71023,0.97279,0.96813,0.00000,5.0035
54,9.8891,2.73900,3.71959,0.98059,0.97516,0.00000,5.0032
55,9.9596,2.74125,3.72757,0.98632,0.98212,0.00000,5.0028
56,10.0346,2.74522,3.74054,0.99531,0.98951,0.00000,5.0035
57,10.1052,2.74560,3.74803,1.00243,0.99647,0.00000,5.0028
58,10.1782,2.74925,3.75827,1.00902,1.00368,0.00000,5.0053
59,10.2436,2.75008,3.76477,1.01470,1.01012,0.00000,5.0039
60,10.3606,2.75369,3.77933,1.02563,1.02166,0.00000,5.0028
61,10.4078,2.75584,3.78749,1.03165,1.02631,0.00000,5.0035
62,10.4760,2.75736,3.79497,1.03762,1.03304,0.00000,5.0028
63,10.5239,2.75809,3.80142,1.04334,1.03777,0.00000,5.0032
# i_max=10.524 mA  v_die@i_max=2.7581 V  rail 5.0028 to 5.0254 V  sag=22.6 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
