# ---------------------------------------------------------
# bandgap raw 221  ->  rail now 5.0339 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1112.5
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.2831,2.51781,2.54619,0.02838,0.02792,0.00000,5.0339
2,0.4966,2.54992,2.59965,0.04973,0.04897,0.00000,5.0339
3,0.7431,2.55740,2.63144,0.07404,0.07328,0.00000,5.0113
4,1.1953,2.60023,2.71902,0.11879,0.11787,0.00000,5.0339
5,1.3970,2.61314,2.75282,0.13968,0.13776,0.00000,5.0339
6,1.6198,2.62082,2.78239,0.16157,0.15973,0.00000,5.0339
7,1.8067,2.63457,2.81488,0.18031,0.17816,0.00000,5.0339
8,2.1370,2.65154,2.86535,0.21380,0.21073,0.00000,5.0339
9,2.3427,2.65853,2.89085,0.23232,0.23101,0.00000,5.0339
10,2.5273,2.66944,2.91973,0.25029,0.24921,0.00000,5.0339
11,2.6932,2.67543,2.94392,0.26849,0.26557,0.00000,5.0339
12,3.0546,2.68964,2.99370,0.30406,0.30122,0.00000,5.0339
13,3.2275,2.69824,3.01805,0.31980,0.31827,0.00000,5.0339
14,3.3857,2.70270,3.03802,0.33532,0.33386,0.00000,5.0339
15,3.5383,2.71069,3.06229,0.35160,0.34892,0.00000,5.0339
16,5.0292,2.76645,3.26676,0.50031,0.49593,0.00000,5.0339
17,5.1391,2.75881,3.26878,0.50997,0.50676,0.00000,5.0113
18,5.2808,2.77636,3.29856,0.52220,0.52074,0.00000,5.0339
19,5.4024,2.77705,3.31408,0.53703,0.53273,0.00000,5.0339
20,5.6688,2.78650,3.34765,0.56115,0.55900,0.00000,5.0339
21,5.7762,2.78973,3.36224,0.57251,0.56960,0.00000,5.0339
22,5.8798,2.79318,3.37714,0.58396,0.57981,0.00000,5.0339
23,6.0092,2.79725,3.39235,0.59510,0.59256,0.00000,5.0339
24,6.1495,2.79070,3.40092,0.61022,0.60640,0.00000,5.0113
25,6.2935,2.80601,3.43030,0.62429,0.62060,0.00000,5.0339
26,6.4002,2.80832,3.44297,0.63466,0.63112,0.00000,5.0339
27,6.4804,2.81362,3.45756,0.64395,0.63903,0.00000,5.0339
28,6.7001,2.81930,3.48430,0.66500,0.66069,0.00000,5.0339
29,6.8216,2.81907,3.49582,0.67675,0.67268,0.00000,5.0339
30,6.8497,2.81325,3.49390,0.68065,0.67545,0.00000,5.0113
31,6.9953,2.82514,3.52063,0.69549,0.68981,0.00000,5.0339
32,6.5567,2.81615,3.46555,0.64940,0.64656,0.00000,5.0339
33,6.6357,2.80668,3.46270,0.65602,0.65434,0.00000,5.0113
34,6.7546,2.81845,3.49006,0.67160,0.66607,0.00000,5.0339
35,6.8419,2.81356,3.48893,0.67537,0.67468,0.00000,5.0113
36,7.0615,2.82921,3.52938,0.70018,0.69633,0.00000,5.0339
37,7.1558,2.83113,3.54137,0.71024,0.70563,0.00000,5.0339
38,7.2500,2.83320,3.55074,0.71754,0.71492,0.00000,5.0339
39,7.3263,2.83727,3.56464,0.72737,0.72245,0.00000,5.0339
40,7.4767,2.84142,3.58315,0.74173,0.73728,0.00000,5.0339
41,7.5647,2.84219,3.59329,0.75110,0.74596,0.00000,5.0339
42,7.6558,2.84511,3.60481,0.75970,0.75494,0.00000,5.0339
43,7.6949,2.83558,3.59889,0.76331,0.75879,0.00000,5.0113
44,7.9137,2.85310,3.63723,0.78413,0.78037,0.00000,5.0339
45,7.9640,2.84078,3.63054,0.78976,0.78533,0.00000,5.0113
46,8.0726,2.85709,3.65758,0.80049,0.79604,0.00000,5.0339
47,8.1028,2.84713,3.65050,0.80337,0.79902,0.00000,5.0113
48,8.8975,2.88083,3.76258,0.88176,0.87738,0.00000,5.0339
49,8.9255,2.86800,3.75358,0.88557,0.88015,0.00000,5.0113
50,8.9821,2.87244,3.76298,0.89054,0.88573,0.00000,5.0113
51,9.0899,2.88659,3.78824,0.90165,0.89635,0.00000,5.0339
52,9.1868,2.87611,3.78722,0.91111,0.90591,0.00000,5.0113
53,9.2574,2.87710,3.79342,0.91631,0.91287,0.00000,5.0113
54,9.3547,2.89127,3.81942,0.92815,0.92247,0.00000,5.0339
55,9.3745,2.87825,3.80817,0.92992,0.92442,0.00000,5.0113
56,9.4707,2.88253,3.82102,0.93849,0.93390,0.00000,5.0113
57,9.5311,2.88444,3.82966,0.94522,0.93987,0.00000,5.0113
58,9.5831,2.88567,3.83601,0.95034,0.94499,0.00000,5.0113
59,9.6897,2.90118,3.86083,0.95965,0.95550,0.00000,5.0339
60,9.8088,2.90164,3.87442,0.97278,0.96725,0.00000,5.0339
61,9.8180,2.89224,3.86529,0.97305,0.96816,0.00000,5.0113
62,9.9093,2.90471,3.88817,0.98346,0.97716,0.00000,5.0339
63,9.9266,2.89446,3.87929,0.98483,0.97886,0.00000,5.0113
# i_max=9.927 mA  v_die@i_max=2.8945 V  rail 5.0113 to 5.0339 V  sag=22.7 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
