# ---------------------------------------------------------
# bandgap raw 221  ->  rail now 5.0339 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1112.5
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.3011,2.21613,2.24590,0.02977,0.02969,0.00000,5.0113
2,0.5558,2.26395,2.32029,0.05634,0.05480,0.00000,5.0339
3,0.8346,2.29130,2.37406,0.08276,0.08230,0.00000,5.0339
4,1.3331,2.33508,2.46731,0.13223,0.13146,0.00000,5.0339
5,1.5466,2.35267,2.50786,0.15520,0.15251,0.00000,5.0339
6,1.7795,2.36941,2.54612,0.17670,0.17547,0.00000,5.0339
7,1.9945,2.38516,2.58460,0.19944,0.19667,0.00000,5.0339
8,2.3637,2.40951,2.64482,0.23531,0.23308,0.00000,5.0339
9,2.5756,2.42333,2.67862,0.25528,0.25398,0.00000,5.0339
10,2.7523,2.42236,2.69621,0.27385,0.27140,0.00000,5.0113
11,2.9510,2.44530,2.73922,0.29392,0.29100,0.00000,5.0339
12,3.3381,2.46604,2.79821,0.33217,0.32917,0.00000,5.0339
13,3.5181,2.47718,2.82640,0.34922,0.34692,0.00000,5.0339
14,3.6856,2.48724,2.85129,0.36405,0.36343,0.00000,5.0339
15,3.8772,2.49523,2.87879,0.38356,0.38233,0.00000,5.0339
16,5.4693,2.57243,3.11468,0.54225,0.53933,0.00000,5.0339
17,5.5764,2.56650,3.11983,0.55333,0.54989,0.00000,5.0113
18,5.7098,2.57070,3.13795,0.56725,0.56304,0.00000,5.0113
19,5.8463,2.57881,3.15668,0.57788,0.57650,0.00000,5.0113
20,6.1268,2.59931,3.20608,0.60677,0.60416,0.00000,5.0339
21,6.2255,2.59318,3.21052,0.61733,0.61389,0.00000,5.0113
22,6.3698,2.60868,3.24096,0.63227,0.62813,0.00000,5.0339
23,6.4789,2.61437,3.25747,0.64310,0.63888,0.00000,5.0339
24,6.6790,2.62174,3.28435,0.66261,0.65862,0.00000,5.0339
25,6.7943,2.62673,3.30056,0.67383,0.66999,0.00000,5.0339
26,6.8823,2.63050,3.31477,0.68428,0.67867,0.00000,5.0339
27,7.0202,2.63503,3.33228,0.69726,0.69226,0.00000,5.0339
28,7.2329,2.64378,3.36109,0.71730,0.71323,0.00000,5.0339
29,7.3404,2.64878,3.37653,0.72775,0.72383,0.00000,5.0339
30,7.4134,2.64143,3.37553,0.73410,0.73104,0.00000,5.0113
31,7.5034,2.64258,3.38807,0.74549,0.73991,0.00000,5.0113
32,7.0810,2.63733,3.33966,0.70233,0.69826,0.00000,5.0339
33,7.1513,2.62859,3.33837,0.70978,0.70519,0.00000,5.0113
34,7.2436,2.63524,3.35458,0.71934,0.71429,0.00000,5.0113
35,7.3941,2.64939,3.38352,0.73413,0.72913,0.00000,5.0339
36,7.5755,2.64526,3.39648,0.75122,0.74702,0.00000,5.0113
37,7.7127,2.66230,3.42561,0.76331,0.76055,0.00000,5.0339
38,7.7569,2.65130,3.42210,0.77080,0.76491,0.00000,5.0113
39,7.8694,2.65734,3.43655,0.77921,0.77600,0.00000,5.0113
40,8.0144,2.66453,3.45735,0.79282,0.79030,0.00000,5.0113
41,8.1396,2.67704,3.48391,0.80687,0.80264,0.00000,5.0339
42,8.1904,2.66820,3.48036,0.81217,0.80766,0.00000,5.0113
43,8.2726,2.67225,3.49321,0.82096,0.81576,0.00000,5.0113
44,8.4416,2.67860,3.51722,0.83862,0.83243,0.00000,5.0113
45,8.5339,2.68227,3.52923,0.84696,0.84153,0.00000,5.0113
46,8.6724,2.69479,3.55442,0.85964,0.85518,0.00000,5.0339
47,8.7146,2.68555,3.55033,0.86478,0.85935,0.00000,5.0113
48,9.5237,2.72390,3.66903,0.94513,0.93914,0.00000,5.0339
49,9.5637,2.71469,3.66289,0.94820,0.94308,0.00000,5.0113
50,9.6749,2.73043,3.68923,0.95880,0.95404,0.00000,5.0339
51,9.6885,2.72180,3.68216,0.96036,0.95539,0.00000,5.0113
52,9.8320,2.72509,3.69990,0.97481,0.96953,0.00000,5.0113
53,9.8964,2.72631,3.70861,0.98230,0.97588,0.00000,5.0113
54,9.9669,2.72845,3.71618,0.98773,0.98284,0.00000,5.0113
55,10.0204,2.73151,3.72551,0.99400,0.98812,0.00000,5.0113
56,10.1212,2.73235,3.73706,1.00471,0.99806,0.00000,5.0113
57,10.2341,2.74817,3.76343,1.01526,1.00919,0.00000,5.0339
58,10.2593,2.73717,3.75404,1.01687,1.01167,0.00000,5.0113
59,10.3112,2.74007,3.76275,1.02268,1.01679,0.00000,5.0113
60,10.4291,2.74336,3.77805,1.03468,1.02841,0.00000,5.0113
61,10.4997,2.74489,3.78562,1.04072,1.03537,0.00000,5.0113
62,10.5470,2.74573,3.79234,1.04661,1.04004,0.00000,5.0113
63,10.6074,2.74956,3.80083,1.05128,1.04600,0.00000,5.0113
# i_max=10.607 mA  v_die@i_max=2.7496 V  rail 5.0113 to 5.0339 V  sag=22.7 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
