# ---------------------------------------------------------
# bandgap raw 220  ->  rail now 5.0568 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1112.5
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.1460,5.00390,5.01830,0.01440,0.01440,0.00000,5.0339
2,0.1460,5.04717,5.06157,0.01440,0.01440,0.00000,5.0568
3,0.1460,5.02549,5.03989,0.01440,0.01440,0.00000,5.0339
4,0.1460,5.02633,5.04073,0.01440,0.01440,0.00000,5.0339
5,0.1460,5.02664,5.04104,0.01440,0.01440,0.00000,5.0339
6,0.1460,5.04995,5.06435,0.01440,0.01440,0.00000,5.0568
7,0.1460,5.02710,5.04150,0.01440,0.01440,0.00000,5.0339
8,0.1460,5.02049,5.03489,0.01440,0.01440,0.00000,5.0339
9,0.1460,5.01996,5.03436,0.01440,0.01440,0.00000,5.0339
10,0.1460,5.02126,5.03566,0.01440,0.01440,0.00000,5.0339
11,0.1460,5.04540,5.05980,0.01440,0.01440,0.00000,5.0568
12,0.1460,5.02357,5.03797,0.01440,0.01440,0.00000,5.0339
13,0.1460,5.02380,5.03820,0.01440,0.01440,0.00000,5.0339
14,0.1460,5.02410,5.03850,0.01440,0.01440,0.00000,5.0339
15,0.1460,5.04694,5.06134,0.01440,0.01440,0.00000,5.0568
16,0.1460,5.02042,5.03482,0.01440,0.01440,0.00000,5.0339
17,0.1460,5.04347,5.05787,0.01440,0.01440,0.00000,5.0568
18,0.1460,5.02026,5.03466,0.01440,0.01440,0.00000,5.0339
19,0.1460,5.02134,5.03574,0.01440,0.01440,0.00000,5.0339
20,0.1460,5.04548,5.05988,0.01440,0.01440,0.00000,5.0568
21,0.1460,5.02211,5.03651,0.01440,0.01440,0.00000,5.0339
22,0.1460,5.02318,5.03758,0.01440,0.01440,0.00000,5.0339
23,0.1460,5.02334,5.03774,0.01440,0.01440,0.00000,5.0339
24,0.1460,5.02003,5.03443,0.01440,0.01440,0.00000,5.0339
25,0.1460,5.02119,5.03559,0.01440,0.01440,0.00000,5.0339
26,0.1460,5.04409,5.05849,0.01440,0.01440,0.00000,5.0568
27,0.1460,5.04370,5.05810,0.01440,0.01440,0.00000,5.0568
28,0.1460,5.04493,5.05934,0.01440,0.01440,0.00000,5.0568
29,0.1460,5.02303,5.03743,0.01440,0.01440,0.00000,5.0339
30,0.1460,5.04501,5.05941,0.01440,0.01440,0.00000,5.0568
31,0.1460,5.04563,5.06003,0.01440,0.01440,0.00000,5.0568
32,0.1460,5.02042,5.03482,0.01440,0.01440,0.00000,5.0339
33,0.1460,5.02011,5.03451,0.01440,0.01440,0.00000,5.0339
34,0.1460,5.02126,5.03566,0.01440,0.01440,0.00000,5.0339
35,0.1460,5.04416,5.05856,0.01440,0.01440,0.00000,5.0568
36,0.1460,5.02119,5.03559,0.01440,0.01440,0.00000,5.0339
37,0.1460,5.02234,5.03674,0.01440,0.01440,0.00000,5.0339
38,0.1460,5.02280,5.03720,0.01440,0.01440,0.00000,5.0339
39,0.1460,5.02165,5.03605,0.01440,0.01440,0.00000,5.0339
40,0.1460,5.02126,5.03566,0.01440,0.01440,0.00000,5.0339
41,0.1460,5.04401,5.05841,0.01440,0.01440,0.00000,5.0568
42,0.1460,5.02034,5.03474,0.01440,0.01440,0.00000,5.0339
43,0.1460,5.02188,5.03628,0.01440,0.01440,0.00000,5.0339
44,0.1460,5.02218,5.03658,0.01440,0.01440,0.00000,5.0339
45,0.1460,5.02211,5.03651,0.01440,0.01440,0.00000,5.0339
46,0.1460,5.02288,5.03728,0.01440,0.01440,0.00000,5.0339
47,0.1460,5.04540,5.05980,0.01440,0.01440,0.00000,5.0568
48,0.1460,5.04339,5.05779,0.01440,0.01440,0.00000,5.0568
49,0.1460,5.04447,5.05887,0.01440,0.01440,0.00000,5.0568
50,0.1460,5.02203,5.03643,0.01440,0.01440,0.00000,5.0339
51,0.1460,5.02111,5.03551,0.01440,0.01440,0.00000,5.0339
52,0.1460,5.02234,5.03674,0.01440,0.01440,0.00000,5.0339
53,0.1460,5.04493,5.05934,0.01440,0.01440,0.00000,5.0568
54,0.1460,5.02211,5.03651,0.01440,0.01440,0.00000,5.0339
55,0.1460,5.02326,5.03766,0.01440,0.01440,0.00000,5.0339
56,0.1460,5.02157,5.03597,0.01440,0.01440,0.00000,5.0339
57,0.1460,5.02095,5.03535,0.01440,0.01440,0.00000,5.0339
58,0.1460,5.04517,5.05957,0.01440,0.01440,0.00000,5.0568
59,0.1460,5.02203,5.03643,0.01440,0.01440,0.00000,5.0339
60,0.1460,5.02149,5.03589,0.01440,0.01440,0.00000,5.0339
61,0.1460,5.02318,5.03758,0.01440,0.01440,0.00000,5.0339
62,0.1460,5.02234,5.03674,0.01440,0.01440,0.00000,5.0339
63,0.1460,5.04532,5.05972,0.01440,0.01440,0.00000,5.0568
# i_max=0.146 mA  v_die@i_max=5.0039 V  rail 5.0339 to 5.0568 V  sag=22.9 mV
# WARNING no current. Open loop: check both F/M jumpers, the link E4-E8, and that GND reaches the rail.
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
