# ---------------------------------------------------------
# bandgap raw 220  ->  rail now 5.0568 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1112.5
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.3470,1.75607,1.79121,0.03514,0.03422,0.00000,5.0339
2,0.6695,1.78572,1.85251,0.06679,0.06602,0.00000,5.0339
3,0.9702,1.80531,1.90205,0.09674,0.09567,0.00000,5.0339
4,1.5575,1.83403,1.98938,0.15535,0.15358,0.00000,5.0339
5,1.8434,1.84387,2.02687,0.18300,0.18177,0.00000,5.0339
6,2.0950,1.85677,2.06474,0.20797,0.20658,0.00000,5.0339
7,2.3902,1.86253,2.09923,0.23669,0.23569,0.00000,5.0339
8,2.8267,1.87043,2.15047,0.28004,0.27874,0.00000,5.0113
9,3.0928,1.88573,2.19301,0.30728,0.30498,0.00000,5.0339
10,3.3327,1.89333,2.22328,0.32994,0.32864,0.00000,5.0339
11,3.5796,1.89687,2.25162,0.35475,0.35299,0.00000,5.0339
12,4.0302,1.90346,2.30424,0.40078,0.39742,0.00000,5.0113
13,4.2822,1.91807,2.34141,0.42335,0.42227,0.00000,5.0339
14,4.5058,1.92252,2.36953,0.44700,0.44432,0.00000,5.0339
15,4.7301,1.92713,2.39487,0.46774,0.46644,0.00000,5.0339
16,6.7520,1.96464,2.63458,0.66994,0.66581,0.00000,5.0113
17,6.9358,1.96991,2.65629,0.68638,0.68393,0.00000,5.0113
18,7.1324,1.97882,2.68637,0.70755,0.70332,0.00000,5.0339
19,7.2793,1.97335,2.69498,0.72163,0.71781,0.00000,5.0113
20,7.6667,1.98735,2.74767,0.76032,0.75602,0.00000,5.0339
21,7.7856,1.98230,2.75501,0.77271,0.76774,0.00000,5.0113
22,7.9415,1.98436,2.77237,0.78800,0.78311,0.00000,5.0113
23,8.0950,1.99040,2.79309,0.80269,0.79825,0.00000,5.0113
24,8.3610,1.99446,2.82291,0.82845,0.82448,0.00000,5.0113
25,8.5006,1.99614,2.83836,0.84222,0.83824,0.00000,5.0113
26,8.7121,2.00548,2.86773,0.86225,0.85910,0.00000,5.0339
27,8.8077,1.99866,2.87200,0.87334,0.86852,0.00000,5.0113
28,9.0860,2.00463,2.90664,0.90201,0.89597,0.00000,5.0113
29,9.2380,2.00876,2.92369,0.91494,0.91096,0.00000,5.0113
30,9.3644,2.01120,2.94067,0.92947,0.92343,0.00000,5.0113
31,9.5086,2.01120,2.95482,0.94361,0.93765,0.00000,5.0113
32,8.9216,2.01147,2.89592,0.88445,0.87976,0.00000,5.0339
33,9.0279,2.00661,2.90052,0.89391,0.89024,0.00000,5.0113
34,9.2153,2.01500,2.92879,0.91379,0.90872,0.00000,5.0339
35,9.2931,2.01036,2.93111,0.92075,0.91639,0.00000,5.0113
36,9.5784,2.01526,2.96453,0.94927,0.94453,0.00000,5.0113
37,9.7149,2.01709,2.98013,0.96303,0.95799,0.00000,5.0113
38,9.8274,2.01984,2.99412,0.97427,0.96908,0.00000,5.0113
39,9.9731,2.02053,3.00880,0.98827,0.98345,0.00000,5.0113
40,10.1709,2.02451,3.03304,1.00853,1.00295,0.00000,5.0113
41,10.2996,2.02619,3.04833,1.02214,1.01564,0.00000,5.0113
42,10.4182,2.03032,3.06286,1.03254,1.02734,0.00000,5.0113
43,10.5400,2.02825,3.07464,1.04638,1.03935,0.00000,5.0113
44,10.7796,2.03437,3.10400,1.06963,1.06298,0.00000,5.0113
45,10.8944,2.03598,3.11623,1.08026,1.07429,0.00000,5.0113
46,11.0161,2.03804,3.12923,1.09119,1.08630,0.00000,5.0113
47,11.1223,2.03827,3.14162,1.10335,1.09677,0.00000,5.0113
48,12.1979,2.05624,3.26450,1.20826,1.20283,0.00000,5.0113
49,12.2932,2.05823,3.27681,1.21858,1.21224,0.00000,5.0113
50,12.3894,2.05915,3.28714,1.22799,1.22172,0.00000,5.0113
51,12.4747,2.06106,3.29807,1.23701,1.23013,0.00000,5.0113
52,12.6631,2.06205,3.31879,1.25674,1.24871,0.00000,5.0113
53,12.7577,2.06863,3.33103,1.26240,1.25804,0.00000,5.0113
54,12.8415,2.06557,3.33860,1.27303,1.26630,0.00000,5.0113
55,12.9384,2.06794,3.34999,1.28205,1.27586,0.00000,5.0113
56,13.0609,2.06947,3.36612,1.29665,1.28794,0.00000,5.0113
57,13.1718,2.07368,3.37660,1.30292,1.29887,0.00000,5.0113
58,13.2323,2.07352,3.38524,1.31172,1.30484,0.00000,5.0113
59,13.3261,2.07383,3.39549,1.32166,1.31409,0.00000,5.0113
60,13.5068,2.07635,3.41567,1.33932,1.33191,0.00000,5.0113
61,13.5929,2.07666,3.42294,1.34628,1.34039,0.00000,5.0113
62,13.6596,2.07895,3.43303,1.35408,1.34697,0.00000,5.0113
63,13.7449,2.07987,3.44137,1.36150,1.35538,0.00000,5.0113
# i_max=13.745 mA  v_die@i_max=2.0799 V  rail 5.0113 to 5.0339 V  sag=22.7 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
