# ---------------------------------------------------------
# bandgap raw 220.609  ->  rail now 5.0347 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.5068,0.05244,0.10296,0.05051,0.04998,0.00000,5.0247
2,0.9930,0.09939,0.19731,0.09792,0.09792,0.00000,5.0261
3,1.4459,0.14588,0.28915,0.14327,0.14258,0.00000,5.0240
4,2.3335,0.23549,0.46598,0.23049,0.23011,0.00000,5.0254
5,2.7288,0.27898,0.54892,0.26993,0.26909,0.00000,5.0230
6,3.1253,0.31893,0.62773,0.30880,0.30818,0.00000,5.0244
7,3.4845,0.36048,0.70563,0.34514,0.34361,0.00000,5.0233
8,4.1188,0.42648,0.83363,0.40715,0.40616,0.00000,5.0233
9,4.4711,0.45562,0.89804,0.44243,0.44089,0.00000,5.0226
10,4.8076,0.48586,0.96124,0.47537,0.47407,0.00000,5.0183
11,5.1160,0.52247,1.02833,0.50587,0.50449,0.00000,5.0169
12,5.7541,0.58193,1.15018,0.56825,0.56741,0.00000,5.0141
13,6.0419,0.61003,1.20689,0.59686,0.59579,0.00000,5.0042
14,6.3176,0.63696,1.26315,0.62619,0.62298,0.00000,5.0130
15,6.5956,0.66686,1.31993,0.65307,0.65040,0.00000,5.0067
16,9.0632,0.91566,1.81228,0.89662,0.89372,0.00000,5.0028
17,9.2683,0.93390,1.85137,0.91746,0.91395,0.00000,5.0028
18,9.4621,0.95293,1.89019,0.93726,0.93306,0.00000,5.0021
19,9.6593,0.96848,1.92465,0.95617,0.95250,0.00000,5.0028
20,10.0108,1.01063,2.00268,0.99205,0.98717,0.00000,5.0024
21,10.2151,1.02635,2.03747,1.01113,1.00731,0.00000,5.0028
22,10.3979,1.04635,2.07268,1.02633,1.02534,0.00000,5.0021
23,10.5542,1.06108,2.10625,1.04517,1.04075,0.00000,5.0028
24,10.8406,1.09368,2.16404,1.07037,1.06899,0.00000,5.0028
25,10.9946,1.10971,2.19824,1.08853,1.08418,0.00000,5.0028
26,11.1417,1.13008,2.23221,1.10212,1.09869,0.00000,5.0024
27,11.2578,1.15022,2.26417,1.11395,1.11013,0.00000,5.0010
28,11.5426,1.18694,2.32966,1.14272,1.13822,0.00000,5.0017
29,11.6417,1.21182,2.36439,1.15257,1.14799,0.00000,5.0017
30,11.7540,1.23870,2.40174,1.16303,1.15906,0.00000,5.0024
31,11.8005,1.28221,2.45013,1.16792,1.16364,0.00000,5.0024
32,10.9615,1.28327,2.36899,1.08572,1.08091,0.00000,5.0003
33,11.3314,1.22663,2.34936,1.12273,1.11739,0.00000,5.0021
34,11.4514,1.24267,2.37731,1.13464,1.12922,0.00000,5.0024
35,11.2919,1.35862,2.47547,1.11685,1.11349,0.00000,5.0024
36,11.5651,1.38298,2.52639,1.14341,1.14043,0.00000,5.0014
37,12.2253,1.23265,2.44200,1.20935,1.20554,0.00000,5.0017
38,12.3648,1.24428,2.46700,1.22272,1.21929,0.00000,5.0024
39,12.4801,1.25916,2.49471,1.23555,1.23066,0.00000,5.0024
40,12.6846,1.27971,2.53511,1.25541,1.25083,0.00000,5.0028
41,12.7711,1.29262,2.55709,1.26447,1.25936,0.00000,4.9975
42,12.9177,1.30444,2.58329,1.27885,1.27382,0.00000,5.0010
43,13.0209,1.31803,2.60698,1.28895,1.28399,0.00000,4.9996
44,13.2241,1.34668,2.65544,1.30876,1.30403,0.00000,4.9989
45,13.3192,1.36770,2.68661,1.31890,1.31341,0.00000,5.0024
46,13.0475,1.47852,2.76971,1.29119,1.28661,0.00000,5.0003
47,13.5251,1.39228,2.73057,1.33829,1.33371,0.00000,5.0024
48,14.4609,1.49360,2.92493,1.43133,1.42599,0.00000,5.0000
49,14.5555,1.50431,2.94429,1.43997,1.43532,0.00000,5.0003
50,14.6150,1.51699,2.96444,1.44745,1.44119,0.00000,5.0014
51,14.5214,1.56593,3.00109,1.43516,1.43196,0.00000,4.9968
52,14.7099,1.58425,3.03953,1.45528,1.45055,0.00000,5.0032
53,14.7009,1.60895,3.06403,1.45508,1.44966,0.00000,5.0014
54,14.7786,1.61727,3.07993,1.46266,1.45732,0.00000,5.0028
55,14.9166,1.61189,3.08770,1.47582,1.47093,0.00000,5.0032
56,14.8315,1.66780,3.13537,1.46757,1.46253,0.00000,5.0021
57,14.8526,1.68392,3.15426,1.47034,1.46462,0.00000,5.0003
58,14.9391,1.69131,3.17002,1.47871,1.47314,0.00000,5.0021
59,15.2894,1.63227,3.14599,1.51372,1.50769,0.00000,5.0017
60,15.4078,1.64776,3.17468,1.52692,1.51937,0.00000,5.0017
61,15.4676,1.66017,3.19146,1.53129,1.52526,0.00000,4.9975
62,15.5284,1.67092,3.20820,1.53728,1.53126,0.00000,5.0007
63,15.6010,1.67504,3.21842,1.54338,1.53841,0.00000,5.0014
# i_max=15.601 mA  v_die@i_max=1.6750 V  rail 4.9968 to 5.0261 V  sag=29.3 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
