# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=256  prescaler=/32  vbg_cal=0.0
# rail_tracking=fixed VCC_DMM
# label=verify_100R_step3
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,vcc_V
1,0.3634,0.05006,0.08832,0.03825,0.03583,5.0340
2,0.8489,0.09565,0.18207,0.08641,0.08371,5.0340
3,1.3046,0.14155,0.27468,0.13314,0.12864,5.0340
4,2.1916,0.22848,0.45001,0.22153,0.21611,5.0340
5,2.5896,0.26742,0.53128,0.26385,0.25536,5.0340
6,2.9869,0.30667,0.60957,0.30289,0.29454,5.0340
7,3.3464,0.34706,0.68753,0.34047,0.32999,5.0340
8,3.9861,0.41152,0.81567,0.40415,0.39307,5.0340
9,4.3388,0.44567,0.88427,0.43860,0.42785,5.0340
10,4.6774,0.47682,0.94942,0.47261,0.46124,5.0340
11,4.9865,0.51100,1.01727,0.50627,0.49172,5.0340
12,5.6279,0.57122,1.14132,0.57010,0.55497,5.0340
13,5.9269,0.60167,1.20162,0.59995,0.58445,5.0340
14,6.1886,0.63015,1.25867,0.62852,0.61026,5.0340
15,6.4778,0.65915,1.31711,0.65796,0.63877,5.0340
16,8.9553,0.90578,1.81401,0.90823,0.88308,5.0340
17,9.1714,0.92417,1.85338,0.92920,0.90439,5.0340
18,9.3671,0.94405,1.89269,0.94864,0.92369,5.0340
19,9.5634,0.96339,1.93199,0.96861,0.94305,5.0340
20,9.9208,0.99912,2.00625,1.00713,0.97829,5.0340
21,10.1173,1.02105,2.04502,1.02397,0.99766,5.0340
22,10.2764,1.03738,2.07947,1.04210,1.01335,5.0340
23,10.4485,1.05270,2.11389,1.06119,1.03033,5.0340
24,10.7262,1.08072,2.16796,1.08725,1.05771,5.0340
25,10.8937,1.09848,2.20237,1.10390,1.07423,5.0340
26,11.0541,1.11217,2.23191,1.11974,1.09005,5.0340
27,11.2008,1.12607,2.26166,1.13558,1.10451,5.0340
28,11.5130,1.15569,2.32153,1.16584,1.13529,5.0340
29,11.6323,1.17397,2.35433,1.18036,1.14706,5.0340
30,11.7747,1.18472,2.37935,1.19463,1.16110,5.0340
31,11.9223,1.19826,2.40781,1.20955,1.17566,5.0340
32,11.2726,1.13424,2.27671,1.14247,1.11160,5.0340
33,11.4234,1.15058,2.31051,1.15993,1.12646,5.0340
34,11.5599,1.16456,2.33918,1.17462,1.13992,5.0340
35,11.7184,1.17717,2.36470,1.18753,1.15555,5.0340
36,11.9943,1.20512,2.42193,1.21681,1.18276,5.0340
37,12.1182,1.21867,2.44825,1.22958,1.19498,5.0340
38,12.2654,1.23202,2.47529,1.24327,1.20949,5.0340
39,12.3716,1.24690,2.50087,1.25397,1.21996,5.0340
40,12.5813,1.26653,2.54158,1.27505,1.24064,5.0340
41,12.7125,1.27755,2.56616,1.28861,1.25358,5.0340
42,12.8187,1.29020,2.59074,1.30054,1.26405,5.0340
43,12.9456,1.29898,2.61223,1.31325,1.27657,5.0340
44,13.1667,1.32283,2.65964,1.33681,1.29837,5.0340
45,13.3084,1.33395,2.68151,1.34756,1.31235,5.0340
46,13.4097,1.34639,2.70381,1.35742,1.32233,5.0340
47,13.5102,1.35331,2.72449,1.37118,1.33224,5.0340
48,14.5057,1.45080,2.92088,1.47008,1.43041,5.0340
49,14.5663,1.46081,2.93978,1.47897,1.43638,5.0340
50,14.6636,1.46645,2.95458,1.48813,1.44598,5.0340
51,14.7318,1.47928,2.97419,1.49491,1.45270,5.0340
52,14.9170,1.49524,3.00697,1.51173,1.47096,5.0340
53,15.0054,1.50202,3.02335,1.52133,1.47968,5.0340
54,15.0895,1.50927,3.03848,1.52921,1.48798,5.0340
55,15.1565,1.52120,3.05672,1.53553,1.49458,5.0340
56,15.2712,1.52863,3.07758,1.54895,1.50589,5.0340
57,15.3505,1.53656,3.09290,1.55634,1.51371,5.0340
58,15.4223,1.54324,3.10692,1.56368,1.52080,5.0340
59,15.5055,1.55290,3.12202,1.56911,1.52900,5.0340
60,15.6334,1.56406,3.15117,1.58710,1.54161,5.0340
61,15.7117,1.57318,3.16589,1.59271,1.54933,5.0340
62,15.7694,1.58008,3.18066,1.60059,1.55502,5.0340
63,15.8539,1.58301,3.19055,1.60754,1.56335,5.0340
# i_max=15.854 mA  v_die@i_max=1.5830 V  rail 5.0340 to 5.0340 V  sag=0.0 mV

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
