# ---------------------------------------------------------
# bandgap raw 221  ->  rail now 5.0339 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=256  prescaler=/32  adc_off=14.40mV  vbg_cal=1112.5
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.5102,0.05707,0.10755,0.05048,0.05031,0.00000,5.0339
2,0.9916,0.12038,0.21834,0.09795,0.09778,0.00000,5.0339
3,1.4473,0.15474,0.29820,0.14346,0.14271,0.00000,5.0339
4,2.3319,0.25039,0.48097,0.23059,0.22995,0.00000,5.0339
5,2.7228,0.29937,0.56889,0.26951,0.26849,0.00000,5.0339
6,3.1193,0.33469,0.64355,0.30886,0.30759,0.00000,5.0339
7,3.4585,0.41864,0.76078,0.34214,0.34104,0.00000,5.0339
8,4.0844,0.47397,0.87738,0.40341,0.40276,0.00000,5.0339
9,4.3845,0.55447,0.98889,0.43443,0.43235,0.00000,5.0339
10,4.6781,0.62525,1.08756,0.46231,0.46131,0.00000,5.0339
11,4.9406,0.68992,1.18029,0.49036,0.48720,0.00000,5.0339
12,5.6057,0.71819,1.27288,0.55469,0.55277,0.00000,5.0339
13,5.8806,0.74696,1.32940,0.58244,0.57989,0.00000,5.0339
14,6.1349,0.78204,1.39089,0.60885,0.60497,0.00000,5.0339
15,6.4130,0.81710,1.45136,0.63425,0.63239,0.00000,5.0339
16,8.7485,1.06425,1.93126,0.86701,0.86269,0.00000,5.0113
17,8.9797,1.08577,1.97587,0.89009,0.88548,0.00000,5.0339
18,9.1244,1.10648,2.01107,0.90460,0.89976,0.00000,5.0113
19,9.2793,1.13487,2.05447,0.91960,0.91503,0.00000,5.0113
20,9.6317,1.17622,2.13028,0.95407,0.94979,0.00000,5.0113
21,9.7857,1.19923,2.16810,0.96887,0.96497,0.00000,5.0113
22,9.8438,1.26115,2.23525,0.97410,0.97070,0.00000,5.0113
23,10.1251,1.22802,2.23145,1.00343,0.99844,0.00000,5.0113
24,10.3804,1.25840,2.28591,1.02751,1.02361,0.00000,5.0113
25,10.5229,1.27715,2.31986,1.04271,1.03767,0.00000,5.0113
26,10.6699,1.29183,2.34936,1.05753,1.05216,0.00000,5.0113
27,10.7181,1.34534,2.40661,1.06127,1.05692,0.00000,5.0113
28,10.9988,1.37451,2.46461,1.09010,1.08460,0.00000,5.0113
29,11.2755,1.34148,2.45802,1.11654,1.11188,0.00000,5.0113
30,11.4102,1.35660,2.48581,1.12921,1.12516,0.00000,5.0113
31,11.5351,1.37300,2.51523,1.14223,1.13747,0.00000,5.0113
32,10.9248,1.29891,2.38304,1.08414,1.07729,0.00000,5.0113
33,11.0706,1.31766,2.41455,1.09689,1.09167,0.00000,5.0113
34,11.2152,1.33129,2.44192,1.11063,1.10593,0.00000,5.0113
35,11.3317,1.34823,2.47188,1.12365,1.11742,0.00000,5.0113
36,11.4589,1.42026,2.55555,1.13529,1.12996,0.00000,5.0113
37,11.8183,1.36755,2.53699,1.16943,1.16540,0.00000,5.0113
38,11.9610,1.37019,2.55465,1.18446,1.17947,0.00000,5.0113
39,12.0868,1.38688,2.58350,1.19662,1.19188,0.00000,5.0113
40,12.2611,1.40699,2.62295,1.21596,1.20906,0.00000,5.0113
41,12.4020,1.41932,2.64729,1.22797,1.22296,0.00000,5.0113
42,12.4563,1.44358,2.67680,1.23323,1.22831,0.00000,5.0113
43,12.5993,1.44908,2.69665,1.24756,1.24242,0.00000,5.0113
44,12.8012,1.47782,2.74515,1.26733,1.26232,0.00000,5.0113
45,12.9589,1.49439,2.77759,1.28320,1.27788,0.00000,5.0339
46,12.9999,1.50219,2.78917,1.28698,1.28192,0.00000,5.0113
47,13.1024,1.51148,2.80877,1.29729,1.29203,0.00000,5.0113
48,13.8546,1.65147,3.02478,1.37331,1.36620,0.00000,5.0113
49,14.1777,1.60419,3.00761,1.40342,1.39807,0.00000,5.0113
50,14.2718,1.60999,3.02409,1.41411,1.40734,0.00000,5.0113
51,14.3427,1.62465,3.04365,1.41900,1.41434,0.00000,5.0113
52,14.4881,1.64155,3.07563,1.43408,1.42867,0.00000,5.0113
53,14.5540,1.65271,3.09266,1.43995,1.43517,0.00000,5.0113
54,14.6327,1.65831,3.10729,1.44897,1.44293,0.00000,5.0113
55,14.7291,1.66390,3.12197,1.45807,1.45243,0.00000,5.0113
56,14.7965,1.67380,3.14162,1.46782,1.45909,0.00000,5.0113
57,14.9733,1.66888,3.15133,1.48245,1.47652,0.00000,5.0113
58,15.0486,1.66929,3.16112,1.49183,1.48394,0.00000,5.0113
59,15.1364,1.67714,3.17580,1.49866,1.49260,0.00000,5.0113
60,15.2698,1.69318,3.20516,1.51198,1.50575,0.00000,5.0113
61,15.3328,1.70280,3.21979,1.51699,1.51196,0.00000,5.0113
62,15.3834,1.70691,3.22965,1.52274,1.51695,0.00000,5.0113
63,15.4398,1.71287,3.24431,1.53144,1.52252,0.00000,5.0113
# i_max=15.440 mA  v_die@i_max=1.7129 V  rail 5.0113 to 5.0339 V  sag=22.7 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
