board_tag,sample,die,channel,pin_a,pin_k,diode_V,lit,iso_ak_fwd,iso_ak_rev,verdict,note
1,1,D1,R,1,4,,,,,,
1,1,D1,G,1,2,,,,,,
1,1,D1,B,1,3,,,,,,
1,1,D2,R,5,8,,,,,,
1,1,D2,G,5,6,,,,,,
1,1,D2,B,5,7,,,,,,
1,1,D3,R,9,12,,,,,,
1,1,D3,G,9,10,,,,,,
1,1,D3,B,9,11,,,,,,
1,1,D4,R,13,16,,,,,,
1,1,D4,G,13,14,,,,,,
1,1,D4,B,13,15,,,,,,
1,1,D5,R,17,20,,,,,no_die,"die absent, confirmed physically. Do not probe."
1,1,D5,G,17,18,,,,,no_die,"die absent, confirmed physically. Do not probe."
1,1,D5,B,17,19,,,,,no_die,"die absent, confirmed physically. Do not probe."
1,1,D6,R,21,24,,,,,,
1,1,D6,G,21,22,,,,,,
1,1,D6,B,21,23,,,,,,
1,1,D7,R,25,28,,,,,,
1,1,D7,G,25,26,,,,,,
1,1,D7,B,25,27,,,,,,
1,1,D8,R,29,32,,,,,,
1,1,D8,G,29,30,,,,,,
1,1,D8,B,29,31,,,,,,
1,1,DCL6-L01,R,edge,edge,,,,,,probe the die's own solder edges
1,1,DCL6-L02,R,edge,edge,,,,,,probe the die's own solder edges
1,1,DCL6-L03,R,edge,edge,,,,,,probe the die's own solder edges
1,1,DCL6-L04,R,edge,edge,,,,,,probe the die's own solder edges
1,1,DCL6-L05,R,edge,edge,,,,,,probe the die's own solder edges
1,1,DCL6-L06,R,edge,edge,,,,,,probe the die's own solder edges
1,1,DCL12-L01,R,edge,edge,,,,,,probe the die's own solder edges
1,1,DCL12-L02,R,edge,edge,,,,,,probe the die's own solder edges
1,1,DCL12-L03,R,edge,edge,,,,,,probe the die's own solder edges
1,1,DCL12-L04,R,edge,edge,,,,,,probe the die's own solder edges
1,1,DCL12-L05,R,edge,edge,,,,,,probe the die's own solder edges
1,1,DCL12-L06,R,edge,edge,,,,,,probe the die's own solder edges
1,1,DCL12-L07,R,edge,edge,,,,,,probe the die's own solder edges
1,1,DCL12-L08,R,edge,edge,,,,,,probe the die's own solder edges
1,1,DCL12-L09,R,edge,edge,,,,,,probe the die's own solder edges
1,1,DCL12-L10,R,edge,edge,,,,,,probe the die's own solder edges
1,1,DCL12-L11,R,edge,edge,,,,,,probe the die's own solder edges
1,1,DCL12-L12,R,edge,edge,,,,,,probe the die's own solder edges
2,2,D1,R,1,4,,,,,,
2,2,D1,G,1,2,,,,,,
2,2,D1,B,1,3,,,,,,
2,2,D2,R,5,8,,,,,,
2,2,D2,G,5,6,,,,,,
2,2,D2,B,5,7,,,,,,
2,2,D3,R,9,12,,,,,,
2,2,D3,G,9,10,,,,,,
2,2,D3,B,9,11,,,,,,
2,2,D4,R,13,16,,,,,,
2,2,D4,G,13,14,,,,,,
2,2,D4,B,13,15,,,,,,
2,2,D5,R,17,20,,,,,,
2,2,D5,G,17,18,,,,,,
2,2,D5,B,17,19,,,,,,
2,2,D6,R,21,24,,,,,,
2,2,D6,G,21,22,,,,,,
2,2,D6,B,21,23,,,,,,
2,2,D7,R,25,28,,,,,,
2,2,D7,G,25,26,,,,,,
