board_tag,sample,die,present,alignment,solder,iso_kg_kb,iso_kb_kr,iso_kg_kr,photo,note
1,1,D1,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,D2,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,D3,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,D4,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,D5,n,n/a,n/a,,,,2026-08-03_board1_overview.jpg,DIE ABSENT - four bare gold bond pads clearly visible in overview photo
1,1,D6,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,D7,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,D8,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL6-L01,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL6-L02,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL6-L03,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL6-L04,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL6-L05,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL6-L06,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL12-L01,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL12-L02,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL12-L03,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL12-L04,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL12-L05,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL12-L06,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL12-L07,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL12-L08,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL12-L09,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL12-L10,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL12-L11,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
1,1,DCL12-L12,y,,,,,,2026-08-03_board1_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,D1,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,D2,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,D3,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,D4,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,D5,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
2,2,D6,y,,,,,,2026-08-03_board2_overview.jpg,"present, confirmed from overview photo. alignment/solder NOT assessable at this resolution"
