pres,disc,level,n_a1,n_a0,n_a2
5,0,1,17.996,7.770,7.281
5,0,2,37.059,17.605,17.000
5,0,4,91.781,45.133,43.949
5,0,8,166.020,82.488,79.910
5,0,16,369.055,184.992,179.313
5,0,32,464.000,232.930,226.004
5,1,1,18.020,7.738,7.262
5,1,2,37.086,17.590,16.996
5,1,4,91.793,45.164,43.937
5,1,8,166.035,82.441,79.926
5,1,16,369.090,184.984,179.266
5,1,32,464.000,232.898,226.016
6,0,1,17.992,7.984,7.629
6,0,2,37.059,17.672,17.004
6,0,4,91.688,45.184,43.914
6,0,8,166.004,82.363,80.031
6,0,16,369.152,185.039,179.602
6,0,32,464.000,232.996,226.016
6,1,1,17.996,8.004,7.715
6,1,2,37.070,17.680,17.000
6,1,4,91.746,45.117,43.898
6,1,8,166.012,82.363,80.020
6,1,16,369.152,185.055,179.637
6,1,32,464.000,232.980,226.004
7,0,1,17.965,7.965,7.828
7,0,2,37.082,17.664,17.051
7,0,4,91.695,45.145,43.867
7,0,8,165.988,82.359,80.000
7,0,16,369.152,185.051,179.676
7,0,32,464.000,233.020,226.000
7,1,1,17.941,7.996,7.762
7,1,2,37.059,17.652,17.043
7,1,4,91.723,45.113,43.879
7,1,8,165.980,82.352,80.004
7,1,16,369.211,185.070,179.684
7,1,32,464.000,233.012,225.996
# done
