# ---------------------------------------------------------
# bandgap raw 221  ->  rail now 5.0339 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1112.5
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.3486,1.75438,1.78906,0.03468,0.03437,0.00000,5.0339
2,0.6703,1.78103,1.84774,0.06671,0.06609,0.00000,5.0339
3,0.9709,1.80085,1.89736,0.09651,0.09574,0.00000,5.0339
4,1.5606,1.82589,1.98155,0.15566,0.15389,0.00000,5.0339
5,1.8434,1.83649,2.02019,0.18369,0.18177,0.00000,5.0339
6,2.0988,1.84702,2.05583,0.20881,0.20697,0.00000,5.0339
7,2.3948,1.85685,2.09377,0.23692,0.23616,0.00000,5.0339
8,2.8466,1.86914,2.15215,0.28301,0.28071,0.00000,5.0339
9,3.0959,1.87382,2.18249,0.30867,0.30529,0.00000,5.0339
10,3.3405,1.88304,2.21475,0.33171,0.32941,0.00000,5.0339
11,3.5897,1.88581,2.24302,0.35721,0.35398,0.00000,5.0339
12,4.0550,1.88993,2.29094,0.40101,0.39986,0.00000,5.0113
13,4.2698,1.89559,2.31961,0.42403,0.42105,0.00000,5.0113
14,4.5323,1.90854,2.35616,0.44762,0.44693,0.00000,5.0339
15,4.7364,1.91300,2.38374,0.47074,0.46705,0.00000,5.0339
16,6.8286,1.95217,2.62953,0.67736,0.67337,0.00000,5.0339
17,6.9714,1.94605,2.63786,0.69181,0.68745,0.00000,5.0113
18,7.1498,1.94927,2.65874,0.70947,0.70504,0.00000,5.0113
19,7.3343,1.95393,2.67916,0.72523,0.72324,0.00000,5.0113
20,7.6856,1.95944,2.71861,0.75918,0.75788,0.00000,5.0113
21,7.8407,1.96028,2.73803,0.77776,0.77317,0.00000,5.0113
22,8.0051,1.96356,2.75608,0.79252,0.78938,0.00000,5.0113
23,8.1617,1.96578,2.77459,0.80880,0.80483,0.00000,5.0113
24,8.4285,1.97328,2.80540,0.83213,0.83113,0.00000,5.0113
25,8.6155,1.98174,2.83608,0.85434,0.84957,0.00000,5.0339
26,8.7278,1.97328,2.83889,0.86562,0.86065,0.00000,5.0113
27,8.8805,1.97656,2.85602,0.87946,0.87571,0.00000,5.0113
28,9.1783,1.98176,2.89120,0.90943,0.90507,0.00000,5.0113
29,9.3094,1.98543,2.90664,0.92121,0.91800,0.00000,5.0113
30,9.4505,1.98712,2.92232,0.93520,0.93191,0.00000,5.0113
31,9.5932,1.98811,2.93799,0.94988,0.94598,0.00000,5.0113
32,8.9372,1.98077,2.86719,0.88642,0.88129,0.00000,5.0113
33,9.0891,1.98161,2.88263,0.90102,0.89628,0.00000,5.0113
34,9.2396,1.98413,2.89907,0.91494,0.91111,0.00000,5.0113
35,9.3768,1.98459,2.91429,0.92970,0.92465,0.00000,5.0113
36,9.7099,1.99956,2.96044,0.96087,0.95749,0.00000,5.0339
37,9.7979,1.99300,2.96216,0.96915,0.96617,0.00000,5.0113
38,9.9251,1.99362,2.97714,0.98353,0.97871,0.00000,5.0113
39,10.0321,1.99576,2.99114,0.99538,0.98926,0.00000,5.0113
40,10.2701,1.99843,3.01583,1.01740,1.01274,0.00000,5.0113
41,10.3895,2.00142,3.02922,1.02780,1.02451,0.00000,5.0113
42,10.5136,2.00294,3.04459,1.04164,1.03675,0.00000,5.0113
43,10.6198,2.00600,3.05873,1.05273,1.04722,0.00000,5.0113
44,10.9173,2.01738,3.09893,1.08155,1.07655,0.00000,5.0339
45,11.0122,2.00899,3.09949,1.09050,1.08591,0.00000,5.0113
46,11.1161,2.01006,3.11142,1.10136,1.09616,0.00000,5.0113
47,11.2278,2.01426,3.12610,1.11184,1.10717,0.00000,5.0113
48,12.3165,2.02673,3.24699,1.22027,1.21453,0.00000,5.0113
49,12.4189,2.03108,3.25976,1.22868,1.22462,0.00000,5.0113
50,12.5034,2.02963,3.26894,1.23931,1.23296,0.00000,5.0113
51,12.6158,2.03193,3.28087,1.24894,1.24405,0.00000,5.0113
52,12.8012,2.03376,3.30121,1.26744,1.26232,0.00000,5.0113
53,12.8927,2.03491,3.31206,1.27716,1.27134,0.00000,5.0113
54,12.9911,2.03713,3.32269,1.28557,1.28106,0.00000,5.0113
55,13.0710,2.03690,3.33332,1.29643,1.28893,0.00000,5.0113
56,13.1997,2.03934,3.34739,1.30805,1.30163,0.00000,5.0113
57,13.2936,2.04080,3.35924,1.31845,1.31088,0.00000,5.0113
58,13.3967,2.04225,3.36834,1.32609,1.32105,0.00000,5.0113
59,13.4711,2.04263,3.37813,1.33550,1.32839,0.00000,5.0113
60,13.6417,2.04477,3.39640,1.35163,1.34521,0.00000,5.0113
61,13.7317,2.04653,3.40680,1.36027,1.35408,0.00000,5.0113
62,13.8030,2.04844,3.41613,1.36769,1.36112,0.00000,5.0113
63,13.8937,2.04592,3.42363,1.37771,1.37006,0.00000,5.0113
# i_max=13.894 mA  v_die@i_max=2.0459 V  rail 5.0113 to 5.0339 V  sag=22.7 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
