# ---------------------------------------------------------
# bandgap raw 220.984  ->  rail now 5.0261 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.2828,2.51237,2.54072,0.02835,0.02789,0.00000,5.0226
2,0.4975,2.54618,2.59546,0.04929,0.04906,0.00000,5.0247
3,0.7449,2.56314,2.63714,0.07400,0.07346,0.00000,5.0201
4,1.1921,2.59159,2.71052,0.11893,0.11755,0.00000,5.0187
5,1.3961,2.60564,2.74553,0.13989,0.13767,0.00000,5.0208
6,1.6180,2.61621,2.77752,0.16131,0.15955,0.00000,5.0251
7,1.8147,2.62480,2.80520,0.18040,0.17894,0.00000,5.0226
8,2.1388,2.64278,2.85607,0.21329,0.21091,0.00000,5.0247
9,2.3382,2.65110,2.88312,0.23202,0.23057,0.00000,5.0219
10,2.5301,2.66014,2.91032,0.25018,0.24949,0.00000,5.0251
11,2.6870,2.66534,2.93345,0.26811,0.26497,0.00000,5.0233
12,3.0565,2.67923,2.98301,0.30378,0.30140,0.00000,5.0198
13,3.2330,2.68775,3.00770,0.31996,0.31881,0.00000,5.0251
14,3.3802,2.69306,3.02860,0.33554,0.33332,0.00000,5.0194
15,3.5344,2.69815,3.05020,0.35205,0.34853,0.00000,5.0212
16,5.0475,2.75257,3.25269,0.50011,0.49774,0.00000,5.0247
17,5.1718,2.75681,3.27078,0.51397,0.50999,0.00000,5.0222
18,5.2666,2.75818,3.28203,0.52385,0.51934,0.00000,5.0169
19,5.4232,2.76120,3.30012,0.53892,0.53478,0.00000,5.0212
20,5.6505,2.75885,3.32001,0.56116,0.55719,0.00000,5.0032
21,5.7664,2.76686,3.33984,0.57299,0.56863,0.00000,5.0127
22,5.8989,2.77629,3.36075,0.58445,0.58170,0.00000,5.0180
23,6.0193,2.78100,3.37886,0.59786,0.59356,0.00000,5.0233
24,6.1843,2.77975,3.39387,0.61411,0.60983,0.00000,5.0106
25,6.3122,2.78880,3.41492,0.62612,0.62244,0.00000,5.0219
26,6.3980,2.78171,3.41690,0.63518,0.63090,0.00000,5.0060
27,6.5171,2.79644,3.44315,0.64671,0.64265,0.00000,5.0230
28,6.7047,2.79421,3.45987,0.66566,0.66115,0.00000,5.0113
29,6.8393,2.80385,3.48011,0.67626,0.67442,0.00000,5.0198
30,6.8892,2.79725,3.48102,0.68377,0.67934,0.00000,5.0032
31,7.0326,2.80803,3.50504,0.69701,0.69349,0.00000,5.0237
32,6.5462,2.78725,3.43728,0.65003,0.64553,0.00000,5.0056
33,6.6645,2.79956,3.46104,0.66148,0.65719,0.00000,5.0198
34,6.7857,2.80277,3.47528,0.67251,0.66914,0.00000,5.0233
35,6.8595,2.80416,3.48532,0.68116,0.67641,0.00000,5.0198
36,7.0595,2.79916,3.49812,0.69896,0.69613,0.00000,5.0032
37,7.1878,2.81512,3.52721,0.71209,0.70879,0.00000,5.0240
38,7.2454,2.80975,3.52896,0.71921,0.71447,0.00000,5.0120
39,7.3604,2.81729,3.54762,0.73033,0.72581,0.00000,5.0230
40,7.4853,2.81514,3.55800,0.74286,0.73812,0.00000,5.0116
41,7.5871,2.81677,3.56960,0.75283,0.74817,0.00000,5.0113
42,7.6641,2.81633,3.57392,0.75759,0.75576,0.00000,5.0032
43,7.7348,2.82206,3.58976,0.76770,0.76273,0.00000,5.0084
44,7.9189,2.82136,3.60720,0.78585,0.78088,0.00000,5.0042
45,7.9883,2.82485,3.61617,0.79131,0.78772,0.00000,5.0035
46,8.0730,2.82602,3.62675,0.80074,0.79608,0.00000,5.0042
47,8.1456,2.82931,3.63813,0.80882,0.80324,0.00000,5.0032
48,8.9067,2.84710,3.72989,0.88279,0.87829,0.00000,5.0032
49,8.9802,2.85277,3.74252,0.88974,0.88554,0.00000,5.0067
50,9.0259,2.85260,3.74737,0.89478,0.89004,0.00000,5.0032
51,9.1134,2.85321,3.75676,0.90356,0.89867,0.00000,5.0032
52,9.2465,2.85695,3.77180,0.91485,0.91180,0.00000,5.0032
53,9.2993,2.85896,3.78070,0.92174,0.91700,0.00000,5.0028
54,9.3680,2.85822,3.78688,0.92866,0.92377,0.00000,5.0035
55,9.4261,2.86229,3.79623,0.93394,0.92951,0.00000,5.0032
56,9.5401,2.86685,3.81280,0.94595,0.94075,0.00000,5.0123
57,9.5971,2.86249,3.81360,0.95111,0.94637,0.00000,5.0035
58,9.6499,2.86710,3.82249,0.95539,0.95158,0.00000,5.0032
59,9.7047,2.86707,3.82910,0.96202,0.95699,0.00000,5.0035
60,9.8102,2.86980,3.84207,0.97227,0.96739,0.00000,5.0028
61,9.8768,2.87170,3.85214,0.98044,0.97395,0.00000,5.0060
62,9.9371,2.87260,3.85776,0.98517,0.97990,0.00000,5.0032
63,9.9952,2.87504,3.86364,0.98860,0.98562,0.00000,5.0032
# i_max=9.995 mA  v_die@i_max=2.8750 V  rail 5.0028 to 5.0251 V  sag=22.3 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
