# ---------------------------------------------------------
# bandgap raw 221.047  ->  rail now 5.0247 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.1460,4.99875,5.01315,0.01440,0.01440,0.00000,5.0237
2,0.1460,5.01577,5.03017,0.01440,0.01440,0.00000,5.0254
3,0.1460,5.01642,5.03082,0.01440,0.01440,0.00000,5.0251
4,0.1460,5.01681,5.03121,0.01440,0.01440,0.00000,5.0240
5,0.1460,5.01826,5.03266,0.01440,0.01440,0.00000,5.0251
6,0.1460,5.01679,5.03119,0.01440,0.01440,0.00000,5.0233
7,0.1460,5.01691,5.03131,0.01440,0.01440,0.00000,5.0237
8,0.1460,5.01057,5.02497,0.01440,0.01440,0.00000,5.0244
9,0.1460,5.00853,5.02293,0.01440,0.01440,0.00000,5.0212
10,0.1460,5.01320,5.02760,0.01440,0.01440,0.00000,5.0251
11,0.1460,5.01427,5.02867,0.01440,0.01440,0.00000,5.0251
12,0.1460,5.01276,5.02716,0.01440,0.01440,0.00000,5.0230
13,0.1460,5.01476,5.02916,0.01440,0.01440,0.00000,5.0247
14,0.1460,5.01562,5.03002,0.01440,0.01440,0.00000,5.0254
15,0.1460,5.01511,5.02951,0.01440,0.01440,0.00000,5.0251
16,0.1460,5.01058,5.02498,0.01440,0.01440,0.00000,5.0233
17,0.1460,5.01200,5.02640,0.01440,0.01440,0.00000,5.0247
18,0.1460,5.01301,5.02741,0.01440,0.01440,0.00000,5.0254
19,0.1460,5.01332,5.02772,0.01440,0.01440,0.00000,5.0254
20,0.1460,5.01176,5.02616,0.01440,0.01440,0.00000,5.0230
21,0.1460,5.01422,5.02862,0.01440,0.01440,0.00000,5.0247
22,0.1460,5.01202,5.02642,0.01440,0.01440,0.00000,5.0226
23,0.1460,5.01465,5.02905,0.01440,0.01440,0.00000,5.0251
24,0.1460,5.01286,5.02726,0.01440,0.01440,0.00000,5.0254
25,0.1460,5.01197,5.02637,0.01440,0.01440,0.00000,5.0251
26,0.1460,5.01363,5.02803,0.01440,0.01440,0.00000,5.0254
27,0.1460,5.01327,5.02767,0.01440,0.01440,0.00000,5.0251
28,0.1460,5.01298,5.02738,0.01440,0.01440,0.00000,5.0240
29,0.1460,5.01442,5.02882,0.01440,0.01440,0.00000,5.0251
30,0.1460,5.01341,5.02781,0.01440,0.01440,0.00000,5.0244
31,0.1460,5.01488,5.02928,0.01440,0.01440,0.00000,5.0251
32,0.1460,5.01045,5.02485,0.01440,0.01440,0.00000,5.0240
33,0.1460,5.01263,5.02703,0.01440,0.01440,0.00000,5.0254
34,0.1460,5.01117,5.02557,0.01440,0.01440,0.00000,5.0237
35,0.1460,5.01344,5.02784,0.01440,0.01440,0.00000,5.0258
36,0.1460,5.01455,5.02895,0.01440,0.01440,0.00000,5.0254
37,0.1460,5.01386,5.02826,0.01440,0.01440,0.00000,5.0254
38,0.1460,5.01644,5.03084,0.01440,0.01440,0.00000,5.0276
39,0.1460,5.01513,5.02953,0.01440,0.01440,0.00000,5.0258
40,0.1460,5.01212,5.02652,0.01440,0.01440,0.00000,5.0251
41,0.1460,5.01142,5.02582,0.01440,0.01440,0.00000,5.0233
42,0.1460,5.01246,5.02686,0.01440,0.01440,0.00000,5.0247
43,0.1460,5.01198,5.02638,0.01440,0.01440,0.00000,5.0240
44,0.1460,5.01295,5.02735,0.01440,0.01440,0.00000,5.0244
45,0.1460,5.01346,5.02786,0.01440,0.01440,0.00000,5.0247
46,0.1460,5.01301,5.02741,0.01440,0.01440,0.00000,5.0237
47,0.1460,5.01259,5.02699,0.01440,0.01440,0.00000,5.0240
48,0.1460,5.01332,5.02772,0.01440,0.01440,0.00000,5.0254
49,0.1460,5.01178,5.02618,0.01440,0.01440,0.00000,5.0237
50,0.1460,5.01588,5.03028,0.01440,0.01440,0.00000,5.0279
51,0.1460,5.01343,5.02783,0.01440,0.01440,0.00000,5.0251
52,0.1460,5.01350,5.02790,0.01440,0.01440,0.00000,5.0251
53,0.1460,5.01412,5.02852,0.01440,0.01440,0.00000,5.0251
54,0.1460,5.01302,5.02742,0.01440,0.01440,0.00000,5.0244
55,0.1460,5.01353,5.02793,0.01440,0.01440,0.00000,5.0247
56,0.1460,5.01367,5.02807,0.01440,0.01440,0.00000,5.0258
57,0.1460,5.01231,5.02671,0.01440,0.01440,0.00000,5.0247
58,0.1460,5.01322,5.02762,0.01440,0.01440,0.00000,5.0247
59,0.1460,5.00945,5.02385,0.01440,0.01440,0.00000,5.0212
60,0.1460,5.01409,5.02849,0.01440,0.01440,0.00000,5.0254
61,0.1460,5.01439,5.02879,0.01440,0.01440,0.00000,5.0254
62,0.1460,5.01384,5.02824,0.01440,0.01440,0.00000,5.0247
63,0.1460,5.01508,5.02948,0.01440,0.01440,0.00000,5.0254
# i_max=0.146 mA  v_die@i_max=4.9987 V  rail 5.0212 to 5.0279 V  sag=6.7 mV
# WARNING no current. Open loop: check both F/M jumpers, the link E4-E8, and that GND reaches the rail.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
