# ---------------------------------------------------------
# bandgap raw 220.969  ->  rail now 5.0265 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.2979,2.23618,2.26601,0.02983,0.02937,0.00000,5.0067
2,0.5570,2.28196,2.33803,0.05608,0.05493,0.00000,5.0208
3,0.8247,2.30984,2.39224,0.08240,0.08133,0.00000,5.0127
4,1.2984,2.36016,2.49049,0.13033,0.12804,0.00000,5.0183
5,1.5389,2.38425,2.53645,0.15221,0.15175,0.00000,5.0230
6,1.7354,2.39447,2.56751,0.17304,0.17113,0.00000,5.0032
7,1.9689,2.41938,2.61477,0.19538,0.19416,0.00000,5.0237
8,2.3278,2.44278,2.67301,0.23023,0.22954,0.00000,5.0141
9,2.5300,2.46214,2.71208,0.24994,0.24948,0.00000,5.0233
10,2.7002,2.46388,2.73176,0.26787,0.26627,0.00000,5.0035
11,2.9083,2.47944,2.76776,0.28832,0.28679,0.00000,5.0130
12,3.2779,2.51081,2.83443,0.32362,0.32323,0.00000,5.0222
13,3.4394,2.50753,2.84890,0.34137,0.33916,0.00000,5.0032
14,3.6235,2.52711,2.88558,0.35846,0.35731,0.00000,5.0208
15,3.7812,2.53339,2.90863,0.37524,0.37287,0.00000,5.0176
16,5.3044,2.60960,3.13641,0.52681,0.52307,0.00000,5.0032
17,5.4592,2.61363,3.15502,0.54139,0.53833,0.00000,5.0039
18,5.5889,2.62213,3.17485,0.55272,0.55112,0.00000,5.0049
19,5.7051,2.62588,3.19197,0.56609,0.56258,0.00000,5.0042
20,5.9563,2.63525,3.22596,0.59071,0.58735,0.00000,5.0032
21,6.0860,2.64384,3.24497,0.60113,0.60014,0.00000,5.0035
22,6.1986,2.64738,3.26244,0.61507,0.61125,0.00000,5.0070
23,6.3019,2.65278,3.27802,0.62525,0.62143,0.00000,5.0028
24,6.4977,2.66136,3.30576,0.64440,0.64074,0.00000,5.0070
25,6.6097,2.66373,3.31803,0.65430,0.65178,0.00000,5.0032
26,6.7157,2.66693,3.33223,0.66529,0.66224,0.00000,5.0032
27,6.8373,2.67676,3.35145,0.67469,0.67423,0.00000,5.0067
28,7.0437,2.68176,3.37986,0.69809,0.69458,0.00000,5.0063
29,7.1415,2.68281,3.39093,0.70812,0.70423,0.00000,5.0032
30,7.2326,2.69010,3.40659,0.71649,0.71321,0.00000,5.0035
31,7.3330,2.69133,3.41810,0.72677,0.72311,0.00000,5.0028
32,6.8732,2.67537,3.35642,0.68105,0.67777,0.00000,5.0028
33,6.9875,2.68089,3.37389,0.69300,0.68903,0.00000,5.0060
34,7.0876,2.68270,3.38528,0.70258,0.69891,0.00000,5.0028
35,7.1903,2.68617,3.39895,0.71278,0.70904,0.00000,5.0032
36,7.3895,2.69468,3.42703,0.73235,0.72868,0.00000,5.0028
37,7.4791,2.69846,3.44033,0.74186,0.73751,0.00000,5.0032
38,7.5828,2.70190,3.45369,0.75179,0.74774,0.00000,5.0032
39,7.6775,2.70575,3.46551,0.75975,0.75708,0.00000,5.0028
40,7.8282,2.71075,3.48605,0.77530,0.77194,0.00000,5.0032
41,7.9190,2.71194,3.49627,0.78433,0.78090,0.00000,5.0028
42,8.0102,2.71846,3.50995,0.79149,0.78988,0.00000,5.0032
43,8.0806,2.72137,3.52209,0.80072,0.79683,0.00000,5.0032
44,8.2573,2.72629,3.54367,0.81739,0.81426,0.00000,5.0028
45,8.3485,2.72839,3.55469,0.82630,0.82324,0.00000,5.0032
46,8.4195,2.73446,3.56730,0.83284,0.83025,0.00000,5.0035
47,8.4981,2.73568,3.57665,0.84097,0.83800,0.00000,5.0028
48,9.2645,2.76224,3.67917,0.91693,0.91357,0.00000,5.0028
49,9.3232,2.76396,3.68836,0.92440,0.91936,0.00000,5.0032
50,9.4059,2.76469,3.69618,0.93149,0.92752,0.00000,5.0035
51,9.4681,2.76713,3.70467,0.93754,0.93365,0.00000,5.0028
52,9.6060,2.77220,3.72349,0.95129,0.94724,0.00000,5.0024
53,9.6663,2.77342,3.73036,0.95694,0.95320,0.00000,5.0024
54,9.7238,2.77586,3.73915,0.96329,0.95887,0.00000,5.0017
55,9.7955,2.77904,3.74795,0.96891,0.96594,0.00000,5.0028
56,9.8822,2.78095,3.76078,0.97983,0.97449,0.00000,5.0028
57,9.9496,2.78247,3.76787,0.98540,0.98113,0.00000,5.0028
58,10.0038,2.78537,3.77528,0.98991,0.98647,0.00000,5.0028
59,10.0556,2.78629,3.78253,0.99624,0.99159,0.00000,5.0028
60,10.1999,2.79107,3.80138,1.01031,1.00581,0.00000,5.0056
61,10.2499,2.79175,3.80623,1.01448,1.01074,0.00000,5.0032
62,10.3049,2.79301,3.81322,1.02021,1.01617,0.00000,5.0028
63,10.3675,2.79641,3.82219,1.02578,1.02234,0.00000,5.0032
# i_max=10.368 mA  v_die@i_max=2.7964 V  rail 5.0017 to 5.0237 V  sag=21.9 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
