# ---------------------------------------------------------
# bandgap raw 220.688  ->  rail now 5.0329 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.3474,1.75517,1.78958,0.03441,0.03425,0.00000,5.0237
2,0.6712,1.78354,1.85072,0.06718,0.06618,0.00000,5.0276
3,0.9655,1.80188,1.89869,0.09682,0.09521,0.00000,5.0244
4,1.5531,1.83142,1.98695,0.15553,0.15316,0.00000,5.0240
5,1.8373,1.84367,2.02593,0.18225,0.18118,0.00000,5.0230
6,2.0921,1.85412,2.06157,0.20745,0.20630,0.00000,5.0226
7,2.3847,1.86363,2.09962,0.23600,0.23515,0.00000,5.0251
8,2.8380,1.87766,2.15836,0.28070,0.27986,0.00000,5.0237
9,3.0831,1.88476,2.19094,0.30617,0.30403,0.00000,5.0201
10,3.3252,1.89263,2.22183,0.32920,0.32790,0.00000,5.0233
11,3.5687,1.89821,2.25150,0.35329,0.35191,0.00000,5.0237
12,4.0277,1.90622,2.30669,0.40046,0.39717,0.00000,5.0141
13,4.2706,1.91750,2.33970,0.42219,0.42112,0.00000,5.0226
14,4.4823,1.92172,2.36709,0.44537,0.44200,0.00000,5.0194
15,4.7192,1.92833,2.39423,0.46590,0.46536,0.00000,5.0237
16,6.7424,1.96606,2.63490,0.66884,0.66486,0.00000,5.0063
17,6.9126,1.97163,2.65626,0.68463,0.68165,0.00000,5.0084
18,7.0891,1.97208,2.67550,0.70341,0.69906,0.00000,5.0067
19,7.2501,1.97654,2.69552,0.71898,0.71493,0.00000,5.0060
20,7.6101,1.98447,2.73811,0.75364,0.75043,0.00000,5.0084
21,7.7617,1.98398,2.75378,0.76980,0.76538,0.00000,5.0032
22,7.9256,1.98534,2.77123,0.78589,0.78154,0.00000,5.0035
23,8.0773,1.98900,2.78986,0.80085,0.79650,0.00000,5.0035
24,8.3260,1.99566,2.82142,0.82576,0.82103,0.00000,5.0032
25,8.4767,1.99981,2.84051,0.84070,0.83588,0.00000,5.0067
26,8.6326,2.00131,2.85639,0.85508,0.85126,0.00000,5.0032
27,8.7780,2.00282,2.87262,0.86980,0.86560,0.00000,5.0035
28,9.0696,2.00893,2.90794,0.89902,0.89436,0.00000,5.0060
29,9.2125,2.00879,2.92196,0.91317,0.90844,0.00000,5.0032
30,9.3301,2.01367,2.93998,0.92631,0.92005,0.00000,5.0032
31,9.4724,2.01595,2.95568,0.93973,0.93408,0.00000,5.0060
32,8.8641,2.00589,2.88280,0.87691,0.87409,0.00000,5.0032
33,9.0073,2.00925,2.89952,0.89027,0.88821,0.00000,5.0032
34,9.1329,2.00964,2.91443,0.90479,0.90059,0.00000,5.0028
35,9.2690,2.01245,2.93074,0.91829,0.91401,0.00000,5.0032
36,9.5578,2.01726,2.96426,0.94699,0.94249,0.00000,5.0032
37,9.6761,2.02115,2.97928,0.95813,0.95416,0.00000,5.0035
38,9.8078,2.02116,2.99281,0.97165,0.96715,0.00000,5.0032
39,9.9442,2.02246,3.00771,0.98525,0.98059,0.00000,5.0028
40,10.1307,2.02605,3.03161,1.00556,0.99899,0.00000,5.0028
41,10.2555,2.03012,3.04652,1.01641,1.01129,0.00000,5.0021
42,10.3939,2.03406,3.06167,1.02761,1.02494,0.00000,5.0032
43,10.5052,2.03448,3.07551,1.04103,1.03592,0.00000,5.0046
44,10.7508,2.03697,3.10199,1.06502,1.06014,0.00000,5.0028
45,10.8514,2.04178,3.11657,1.07479,1.07006,0.00000,5.0028
46,10.9776,2.04118,3.12879,1.08762,1.08250,0.00000,5.0024
47,11.0891,2.04057,3.13941,1.09884,1.09350,0.00000,5.0021
48,12.1443,2.06154,3.26375,1.20221,1.19755,0.00000,5.0032
49,12.2379,2.06292,3.27611,1.21319,1.20678,0.00000,5.0028
50,12.3394,2.06406,3.28688,1.22282,1.21679,0.00000,5.0032
51,12.4313,2.06446,3.29535,1.23089,1.22585,0.00000,5.0024
52,12.6272,2.06690,3.31748,1.25059,1.24517,0.00000,5.0024
53,12.7176,2.06889,3.32862,1.25973,1.25409,0.00000,5.0021
54,12.7837,2.07010,3.33818,1.26808,1.26060,0.00000,5.0028
55,12.8820,2.07246,3.34986,1.27739,1.27029,0.00000,5.0028
56,13.0172,2.07545,3.36519,1.28973,1.28362,0.00000,5.0021
57,13.1172,2.07591,3.37504,1.29913,1.29348,0.00000,5.0024
58,13.1769,2.07735,3.38360,1.30625,1.29938,0.00000,5.0028
59,13.2735,2.07614,3.39259,1.31646,1.30890,0.00000,5.0024
60,13.4448,2.08132,3.41436,1.33304,1.32579,0.00000,5.0028
61,13.5328,2.08171,3.42107,1.33936,1.33447,0.00000,5.0024
62,13.6047,2.08347,3.43121,1.34774,1.34156,0.00000,5.0021
63,13.6830,2.08346,3.44007,1.35661,1.34928,0.00000,5.0024
# i_max=13.683 mA  v_die@i_max=2.0835 V  rail 5.0021 to 5.0276 V  sag=25.5 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
