# ---------------------------------------------------------
# bandgap raw 220.000  ->  rail now 5.0486 V
# ---------------------------------------------------------
# iv_sweep  R_SENSE=98.61  VCC_DMM=5.034  OVERSAMPLE=64  prescaler=/32  adc_off=14.40mV  vbg_cal=1110.7
# rail_tracking=live
level,i_mA,v_die_V,v_anode_V,v_cath_V,v_sense_V,v_gnd_V,vcc_V
1,0.5067,0.05021,0.10118,0.05097,0.04997,0.00000,5.0240
2,0.9945,0.09433,0.19239,0.09807,0.09807,0.00000,5.0258
3,1.4509,0.13994,0.28409,0.14415,0.14307,0.00000,5.0254
4,2.3383,0.22608,0.45682,0.23074,0.23058,0.00000,5.0293
5,2.7354,0.26814,0.53833,0.27019,0.26973,0.00000,5.0251
6,3.1305,0.30465,0.61388,0.30924,0.30870,0.00000,5.0240
7,3.4953,0.34224,0.68967,0.34744,0.34468,0.00000,5.0244
8,4.1311,0.40531,0.81529,0.40997,0.40737,0.00000,5.0251
9,4.4866,0.43876,0.88433,0.44557,0.44243,0.00000,5.0226
10,4.8251,0.47337,0.95163,0.47826,0.47581,0.00000,5.0247
11,5.1379,0.50552,1.01577,0.51025,0.50665,0.00000,5.0265
12,5.7698,0.56973,1.14198,0.57225,0.56896,0.00000,5.0219
13,6.0629,0.59571,1.19747,0.60177,0.59786,0.00000,5.0148
14,6.3671,0.62565,1.25634,0.63069,0.62786,0.00000,5.0254
15,6.6303,0.65181,1.30807,0.65626,0.65381,0.00000,5.0155
16,9.1185,0.89655,1.80107,0.90453,0.89917,0.00000,5.0116
17,9.3122,0.91693,1.83918,0.92225,0.91828,0.00000,5.0035
18,9.5082,0.93397,1.87646,0.94249,0.93760,0.00000,5.0032
19,9.7156,0.95566,1.91738,0.96173,0.95806,0.00000,5.0088
20,10.0625,0.99176,1.98876,0.99700,0.99227,0.00000,5.0032
21,10.2576,1.01107,2.02753,1.01646,1.01150,0.00000,5.0035
22,10.4179,1.02833,2.06159,1.03326,1.02731,0.00000,5.0032
23,10.6006,1.04520,2.09556,1.05036,1.04532,0.00000,5.0032
24,10.8770,1.07184,2.14961,1.07777,1.07258,0.00000,5.0028
25,11.0457,1.08917,2.18358,1.09441,1.08922,0.00000,5.0028
26,11.1998,1.10383,2.21274,1.10891,1.10441,0.00000,5.0024
27,11.3554,1.11810,2.24205,1.12395,1.11975,0.00000,5.0024
28,11.6480,1.14742,2.30145,1.15403,1.14861,0.00000,5.0028
29,11.8206,1.16268,2.33313,1.17044,1.16563,0.00000,5.0028
30,11.9492,1.17521,2.35963,1.18442,1.17831,0.00000,5.0032
31,12.0876,1.19146,2.38861,1.19715,1.19196,0.00000,5.0024
32,11.4328,1.12681,2.26007,1.13327,1.12739,0.00000,5.0028
33,11.5867,1.13984,2.28614,1.14630,1.14256,0.00000,5.0010
34,11.7339,1.15551,2.31832,1.16281,1.15708,0.00000,5.0028
35,11.8857,1.16795,2.34519,1.17724,1.17205,0.00000,5.0028
36,12.1683,1.19513,2.39940,1.20427,1.19992,0.00000,5.0032
37,12.2912,1.20977,2.42769,1.21792,1.21204,0.00000,5.0024
38,12.4312,1.22152,2.45195,1.23042,1.22585,0.00000,5.0021
39,12.5620,1.23158,2.47658,1.24499,1.23873,0.00000,5.0017
40,12.7664,1.25846,2.52033,1.26187,1.25889,0.00000,5.0021
41,12.8786,1.26922,2.54476,1.27553,1.26996,0.00000,5.0021
42,12.9840,1.28122,2.56936,1.28814,1.28035,0.00000,5.0024
43,13.1269,1.28974,2.58877,1.29903,1.29445,0.00000,5.0017
44,13.3728,1.31414,2.63794,1.32380,1.31869,0.00000,5.0028
45,13.4765,1.32742,2.66229,1.33487,1.32892,0.00000,5.0028
46,13.5701,1.33626,2.68097,1.34471,1.33815,0.00000,5.0010
47,13.6784,1.34381,2.70157,1.35775,1.34882,0.00000,5.0024
48,14.6986,1.44228,2.89782,1.45554,1.44943,0.00000,5.0024
49,14.7533,1.45271,2.91478,1.46207,1.45483,0.00000,5.0000
50,14.8555,1.45927,2.93165,1.47238,1.46490,0.00000,5.0010
51,14.9587,1.46999,2.95018,1.48019,1.47508,0.00000,5.0024
52,15.1179,1.48569,2.98502,1.49933,1.49078,0.00000,5.0032
53,15.2011,1.49412,2.99821,1.50409,1.49898,0.00000,5.0007
54,15.2589,1.49975,3.01359,1.51384,1.50468,0.00000,5.0014
55,15.3550,1.50854,3.02880,1.52026,1.51416,0.00000,5.0024
56,15.4830,1.51933,3.05336,1.53403,1.52678,0.00000,5.0028
57,15.5578,1.52831,3.06773,1.53942,1.53416,0.00000,5.0024
58,15.6080,1.53371,3.08166,1.54795,1.53910,0.00000,5.0014
59,15.7060,1.54269,3.09947,1.55678,1.54877,0.00000,5.0028
60,15.8516,1.55476,3.12613,1.57137,1.56313,0.00000,5.0021
61,15.9228,1.56384,3.14071,1.57687,1.57015,0.00000,5.0021
62,15.9867,1.57258,3.15559,1.58301,1.57644,0.00000,5.0024
63,16.0512,1.57811,3.17039,1.59228,1.58281,0.00000,5.0028
# i_max=16.051 mA  v_die@i_max=1.5781 V  rail 5.0000 to 5.0293 V  sag=29.4 mV
# WARNING rail sag over 10 mV. Shorter or thicker USB cable, and make sure VBG_X1024 is set so the sag is divided out.

# sweep done. Move the two F/M jumpers, then type the next channel label (e.g. s1_D1_R_seat1) and press enter.
