### Footprint positions - created on 2026-05-16T23:14:07+0200 ###
### Printed by KiCad version 9.0.8-9.0.8~ubuntu24.04.1
## Unit = mm, Angle = deg.
## Side : All
# Ref           Val             Package                PosX       PosY       Rot  Side
BP_R1C1         BP_R1C1         BondPad_DoE         14.0000   -21.0000    0.0000  top
BP_R1C2         BP_R1C2         BondPad_DoE         17.5000   -21.0000    0.0000  top
BP_R1C3         BP_R1C3         BondPad_DoE         21.0000   -21.0000    0.0000  top
BP_R1C4         BP_R1C4         BondPad_DoE         24.5000   -21.0000    0.0000  top
BP_R1C5         BP_R1C5         BondPad_DoE         28.0000   -21.0000    0.0000  top
BP_R1C6         BP_R1C6         BondPad_DoE         31.5000   -21.0000    0.0000  top
BP_R2C1         BP_R2C1         BondPad_DoE         14.0000   -24.5000    0.0000  top
BP_R2C2         BP_R2C2         BondPad_DoE         17.5000   -24.5000    0.0000  top
BP_R2C3         BP_R2C3         BondPad_DoE         21.0000   -24.5000    0.0000  top
BP_R2C4         BP_R2C4         BondPad_DoE         24.5000   -24.5000    0.0000  top
BP_R2C5         BP_R2C5         BondPad_DoE         28.0000   -24.5000    0.0000  top
BP_R2C6         BP_R2C6         BondPad_DoE         31.5000   -24.5000    0.0000  top
BP_R3C1         BP_R3C1         BondPad_DoE         14.0000   -28.0000    0.0000  top
BP_R3C2         BP_R3C2         BondPad_DoE         17.5000   -28.0000    0.0000  top
BP_R3C3         BP_R3C3         BondPad_DoE         21.0000   -28.0000    0.0000  top
BP_R3C4         BP_R3C4         BondPad_DoE         24.5000   -28.0000    0.0000  top
BP_R3C5         BP_R3C5         BondPad_DoE         28.0000   -28.0000    0.0000  top
BP_R3C6         BP_R3C6         BondPad_DoE         31.5000   -28.0000    0.0000  top
BP_R4C1         BP_R4C1         BondPad_DoE         14.0000   -31.5000    0.0000  top
BP_R4C2         BP_R4C2         BondPad_DoE         17.5000   -31.5000    0.0000  top
BP_R4C3         BP_R4C3         BondPad_DoE         21.0000   -31.5000    0.0000  top
BP_R4C4         BP_R4C4         BondPad_DoE         24.5000   -31.5000    0.0000  top
BP_R4C5         BP_R4C5         BondPad_DoE         28.0000   -31.5000    0.0000  top
BP_R4C6         BP_R4C6         BondPad_DoE         31.5000   -31.5000    0.0000  top
BP_R5C1         BP_R5C1         BondPad_DoE         14.0000   -35.0000    0.0000  top
BP_R5C2         BP_R5C2         BondPad_DoE         17.5000   -35.0000    0.0000  top
BP_R5C3         BP_R5C3         BondPad_DoE         21.0000   -35.0000    0.0000  top
BP_R5C4         BP_R5C4         BondPad_DoE         24.5000   -35.0000    0.0000  top
BP_R5C5         BP_R5C5         BondPad_DoE         28.0000   -35.0000    0.0000  top
BP_R5C6         BP_R5C6         BondPad_DoE         31.5000   -35.0000    0.0000  top
BP_R6C1         BP_R6C1         BondPad_DoE         14.0000   -38.5000    0.0000  top
BP_R6C2         BP_R6C2         BondPad_DoE         17.5000   -38.5000    0.0000  top
BP_R6C3         BP_R6C3         BondPad_DoE         21.0000   -38.5000    0.0000  top
BP_R6C4         BP_R6C4         BondPad_DoE         24.5000   -38.5000    0.0000  top
BP_R6C5         BP_R6C5         BondPad_DoE         28.0000   -38.5000    0.0000  top
BP_R6C6         BP_R6C6         BondPad_DoE         31.5000   -38.5000    0.0000  top
D1              D1              WL-SFCC_0404        11.5000   -78.0000    0.0000  top
D2              D2              WL-SFCC_0404        21.5000   -78.0000    0.0000  top
D3              D3              WL-SFCC_0404        31.5000   -78.0000    0.0000  top
D4              D4              WL-SFCC_0404        41.5000   -78.0000    0.0000  top
D5              D5              WL-SFCC_0404        51.5000   -78.0000    0.0000  top
D6              D6              WL-SFCC_0404        61.5000   -78.0000    0.0000  top
D7              D7              WL-SFCC_0404        71.5000   -78.0000    0.0000  top
D8              D8              WL-SFCC_0404        81.5000   -78.0000    0.0000  top
DCL6_L1         DCL6_L1         WL-SFCC_0404        15.7500   -70.0000    0.0000  top
DCL6_L2         DCL6_L2         WL-SFCC_0404        18.2500   -70.0000    0.0000  top
DCL6_L3         DCL6_L3         WL-SFCC_0404        20.7500   -70.0000    0.0000  top
DCL6_L4         DCL6_L4         WL-SFCC_0404        23.2500   -70.0000    0.0000  top
DCL6_L5         DCL6_L5         WL-SFCC_0404        25.7500   -70.0000    0.0000  top
DCL6_L6         DCL6_L6         WL-SFCC_0404        28.2500   -70.0000    0.0000  top
DCL12_L1        DCL12_L1        WL-SFCC_0404        56.2500   -70.0000    0.0000  top
DCL12_L2        DCL12_L2        WL-SFCC_0404        58.7500   -70.0000    0.0000  top
DCL12_L3        DCL12_L3        WL-SFCC_0404        61.2500   -70.0000    0.0000  top
DCL12_L4        DCL12_L4        WL-SFCC_0404        63.7500   -70.0000    0.0000  top
DCL12_L5        DCL12_L5        WL-SFCC_0404        66.2500   -70.0000    0.0000  top
DCL12_L6        DCL12_L6        WL-SFCC_0404        68.7500   -70.0000    0.0000  top
DCL12_L7        DCL12_L7        WL-SFCC_0404        71.2500   -70.0000    0.0000  top
DCL12_L8        DCL12_L8        WL-SFCC_0404        73.7500   -70.0000    0.0000  top
DCL12_L9        DCL12_L9        WL-SFCC_0404        76.2500   -70.0000    0.0000  top
DCL12_L10       DCL12_L10       WL-SFCC_0404        78.7500   -70.0000    0.0000  top
DCL12_L11       DCL12_L11       WL-SFCC_0404        81.2500   -70.0000    0.0000  top
DCL12_L12       DCL12_L12       WL-SFCC_0404        83.7500   -70.0000    0.0000  top
FID1            FID1            Fiducial_1mm         4.0000    -4.0000    0.0000  top
FID2            FID2            Fiducial_1mm        89.0000    -4.0000    0.0000  top
FID3            FID3            Fiducial_1mm         4.0000   -89.0000    0.0000  top
FID4            FID4            Fiducial_1mm        89.0000   -89.0000    0.0000  top
H_N_1           H_N_1           Header_2.54mm        7.1300   -13.5000    0.0000  top
H_N_2           H_N_2           Header_2.54mm        9.6700   -13.5000    0.0000  top
H_N_3           H_N_3           Header_2.54mm       12.2100   -13.5000    0.0000  top
H_N_4           H_N_4           Header_2.54mm       14.7500   -13.5000    0.0000  top
H_N_5           H_N_5           Header_2.54mm       17.2900   -13.5000    0.0000  top
H_N_6           H_N_6           Header_2.54mm       19.8300   -13.5000    0.0000  top
H_N_7           H_N_7           Header_2.54mm       22.3700   -13.5000    0.0000  top
H_N_8           H_N_8           Header_2.54mm       24.9100   -13.5000    0.0000  top
H_N_9           H_N_9           Header_2.54mm       27.4500   -13.5000    0.0000  top
H_N_10          H_N_10          Header_2.54mm       29.9900   -13.5000    0.0000  top
H_N_11          H_N_11          Header_2.54mm       32.5300   -13.5000    0.0000  top
H_N_12          H_N_12          Header_2.54mm       35.0700   -13.5000    0.0000  top
H_N_13          H_N_13          Header_2.54mm       37.6100   -13.5000    0.0000  top
H_N_14          H_N_14          Header_2.54mm       40.1500   -13.5000    0.0000  top
H_N_15          H_N_15          Header_2.54mm       42.6900   -13.5000    0.0000  top
H_N_16          H_N_16          Header_2.54mm       45.2300   -13.5000    0.0000  top
H_N_17          H_N_17          Header_2.54mm       47.7700   -13.5000    0.0000  top
H_N_18          H_N_18          Header_2.54mm       50.3100   -13.5000    0.0000  top
H_N_19          H_N_19          Header_2.54mm       52.8500   -13.5000    0.0000  top
H_N_20          H_N_20          Header_2.54mm       55.3900   -13.5000    0.0000  top
H_N_21          H_N_21          Header_2.54mm       57.9300   -13.5000    0.0000  top
H_N_22          H_N_22          Header_2.54mm       60.4700   -13.5000    0.0000  top
H_N_23          H_N_23          Header_2.54mm       63.0100   -13.5000    0.0000  top
H_N_24          H_N_24          Header_2.54mm       65.5500   -13.5000    0.0000  top
H_N_25          H_N_25          Header_2.54mm       68.0900   -13.5000    0.0000  top
H_N_26          H_N_26          Header_2.54mm       70.6300   -13.5000    0.0000  top
H_N_27          H_N_27          Header_2.54mm       73.1700   -13.5000    0.0000  top
H_N_28          H_N_28          Header_2.54mm       75.7100   -13.5000    0.0000  top
H_N_29          H_N_29          Header_2.54mm       78.2500   -13.5000    0.0000  top
H_N_30          H_N_30          Header_2.54mm       80.7900   -13.5000    0.0000  top
H_N_31          H_N_31          Header_2.54mm       83.3300   -13.5000    0.0000  top
H_N_32          H_N_32          Header_2.54mm       85.8700   -13.5000    0.0000  top
H_S_1           H_S_1           Header_2.54mm        7.1300   -85.0000    0.0000  top
H_S_2           H_S_2           Header_2.54mm        9.6700   -85.0000    0.0000  top
H_S_3           H_S_3           Header_2.54mm       12.2100   -85.0000    0.0000  top
H_S_4           H_S_4           Header_2.54mm       14.7500   -85.0000    0.0000  top
H_S_5           H_S_5           Header_2.54mm       17.2900   -85.0000    0.0000  top
H_S_6           H_S_6           Header_2.54mm       19.8300   -85.0000    0.0000  top
H_S_7           H_S_7           Header_2.54mm       22.3700   -85.0000    0.0000  top
H_S_8           H_S_8           Header_2.54mm       24.9100   -85.0000    0.0000  top
H_S_9           H_S_9           Header_2.54mm       27.4500   -85.0000    0.0000  top
H_S_10          H_S_10          Header_2.54mm       29.9900   -85.0000    0.0000  top
H_S_11          H_S_11          Header_2.54mm       32.5300   -85.0000    0.0000  top
H_S_12          H_S_12          Header_2.54mm       35.0700   -85.0000    0.0000  top
H_S_13          H_S_13          Header_2.54mm       37.6100   -85.0000    0.0000  top
H_S_14          H_S_14          Header_2.54mm       40.1500   -85.0000    0.0000  top
H_S_15          H_S_15          Header_2.54mm       42.6900   -85.0000    0.0000  top
H_S_16          H_S_16          Header_2.54mm       45.2300   -85.0000    0.0000  top
H_S_17          H_S_17          Header_2.54mm       47.7700   -85.0000    0.0000  top
H_S_18          H_S_18          Header_2.54mm       50.3100   -85.0000    0.0000  top
H_S_19          H_S_19          Header_2.54mm       52.8500   -85.0000    0.0000  top
H_S_20          H_S_20          Header_2.54mm       55.3900   -85.0000    0.0000  top
H_S_21          H_S_21          Header_2.54mm       57.9300   -85.0000    0.0000  top
H_S_22          H_S_22          Header_2.54mm       60.4700   -85.0000    0.0000  top
H_S_23          H_S_23          Header_2.54mm       63.0100   -85.0000    0.0000  top
H_S_24          H_S_24          Header_2.54mm       65.5500   -85.0000    0.0000  top
H_S_25          H_S_25          Header_2.54mm       68.0900   -85.0000    0.0000  top
H_S_26          H_S_26          Header_2.54mm       70.6300   -85.0000    0.0000  top
H_S_27          H_S_27          Header_2.54mm       73.1700   -85.0000    0.0000  top
H_S_28          H_S_28          Header_2.54mm       75.7100   -85.0000    0.0000  top
H_S_29          H_S_29          Header_2.54mm       78.2500   -85.0000    0.0000  top
H_S_30          H_S_30          Header_2.54mm       80.7900   -85.0000    0.0000  top
H_S_31          H_S_31          Header_2.54mm       83.3300   -85.0000    0.0000  top
H_S_32          H_S_32          Header_2.54mm       85.8700   -85.0000    0.0000  top
PP_D1_A         PP_D1_A         Probe_1.27mm         8.5000   -81.0000    0.0000  top
PP_D1_KB        PP_D1_KB        Probe_1.27mm        12.5000   -81.0000    0.0000  top
PP_D1_KG        PP_D1_KG        Probe_1.27mm        10.5000   -81.0000    0.0000  top
PP_D1_KR        PP_D1_KR        Probe_1.27mm        14.5000   -81.0000    0.0000  top
PP_D2_A         PP_D2_A         Probe_1.27mm        18.5000   -81.0000    0.0000  top
PP_D2_KB        PP_D2_KB        Probe_1.27mm        22.5000   -81.0000    0.0000  top
PP_D2_KG        PP_D2_KG        Probe_1.27mm        20.5000   -81.0000    0.0000  top
PP_D2_KR        PP_D2_KR        Probe_1.27mm        24.5000   -81.0000    0.0000  top
PP_D3_A         PP_D3_A         Probe_1.27mm        28.5000   -81.0000    0.0000  top
PP_D3_KB        PP_D3_KB        Probe_1.27mm        32.5000   -81.0000    0.0000  top
PP_D3_KG        PP_D3_KG        Probe_1.27mm        30.5000   -81.0000    0.0000  top
PP_D3_KR        PP_D3_KR        Probe_1.27mm        34.5000   -81.0000    0.0000  top
PP_D4_A         PP_D4_A         Probe_1.27mm        38.5000   -81.0000    0.0000  top
PP_D4_KB        PP_D4_KB        Probe_1.27mm        42.5000   -81.0000    0.0000  top
PP_D4_KG        PP_D4_KG        Probe_1.27mm        40.5000   -81.0000    0.0000  top
PP_D4_KR        PP_D4_KR        Probe_1.27mm        44.5000   -81.0000    0.0000  top
PP_D5_A         PP_D5_A         Probe_1.27mm        48.5000   -81.0000    0.0000  top
PP_D5_KB        PP_D5_KB        Probe_1.27mm        52.5000   -81.0000    0.0000  top
PP_D5_KG        PP_D5_KG        Probe_1.27mm        50.5000   -81.0000    0.0000  top
PP_D5_KR        PP_D5_KR        Probe_1.27mm        54.5000   -81.0000    0.0000  top
PP_D6_A         PP_D6_A         Probe_1.27mm        58.5000   -81.0000    0.0000  top
PP_D6_KB        PP_D6_KB        Probe_1.27mm        62.5000   -81.0000    0.0000  top
PP_D6_KG        PP_D6_KG        Probe_1.27mm        60.5000   -81.0000    0.0000  top
PP_D6_KR        PP_D6_KR        Probe_1.27mm        64.5000   -81.0000    0.0000  top
PP_D7_A         PP_D7_A         Probe_1.27mm        68.5000   -81.0000    0.0000  top
PP_D7_KB        PP_D7_KB        Probe_1.27mm        72.5000   -81.0000    0.0000  top
PP_D7_KG        PP_D7_KG        Probe_1.27mm        70.5000   -81.0000    0.0000  top
PP_D7_KR        PP_D7_KR        Probe_1.27mm        74.5000   -81.0000    0.0000  top
PP_D8_A         PP_D8_A         Probe_1.27mm        78.5000   -81.0000    0.0000  top
PP_D8_KB        PP_D8_KB        Probe_1.27mm        82.5000   -81.0000    0.0000  top
PP_D8_KG        PP_D8_KG        Probe_1.27mm        80.5000   -81.0000    0.0000  top
PP_D8_KR        PP_D8_KR        Probe_1.27mm        84.5000   -81.0000    0.0000  top
PP_DCL6_IN      PP_DCL6_IN      Probe_1.27mm        13.3500   -72.0000    0.0000  top
PP_DCL6_OUT     PP_DCL6_OUT     Probe_1.27mm        30.6500   -72.0000    0.0000  top
PP_DCL12_IN     PP_DCL12_IN     Probe_1.27mm        53.8500   -72.0000    0.0000  top
PP_DCL12_OUT    PP_DCL12_OUT    Probe_1.27mm        86.1500   -72.0000    0.0000  top
PP_EIS_OPEN_A   PP_EIS_OPEN_A   Probe_1.27mm        44.5000   -35.3900    0.0000  top
PP_EIS_OPEN_B   PP_EIS_OPEN_B   Probe_1.27mm        47.5000   -35.3900    0.0000  top
PP_EIS_SHORT_A  PP_EIS_SHORT_A  Probe_1.27mm        59.5000   -35.3900    0.0000  top
PP_EIS_SHORT_B  PP_EIS_SHORT_B  Probe_1.27mm        62.5000   -35.3900    0.0000  top
PP_GND1         PP_GND1         Probe_1.27mm         4.0000   -16.0000    0.0000  top
PP_GND2         PP_GND2         Probe_1.27mm        88.0000   -16.0000    0.0000  top
PP_NTC1         PP_NTC1         Probe_1.27mm        15.2000   -76.8000    0.0000  top
PP_NTC2         PP_NTC2         Probe_1.27mm        35.2000   -76.8000    0.0000  top
PP_NTC3         PP_NTC3         Probe_1.27mm        55.2000   -76.8000    0.0000  top
PP_NTC4         PP_NTC4         Probe_1.27mm        75.2000   -76.8000    0.0000  top
R_EIS_LOAD      R_EIS_LOAD      EIS_Load_0603       75.5000   -35.3900    0.0000  top
TC1             TC1             TC_Pad_1mm           2.5000   -50.5000    0.0000  top
TC2             TC2             TC_Pad_1mm           2.5000   -64.5000    0.0000  top
TC3             TC3             TC_Pad_1mm          90.5000   -50.5000    0.0000  top
TC4             TC4             TC_Pad_1mm          90.5000   -64.5000    0.0000  top
TH1             TH1             NTC_0402            17.7000   -76.8000    0.0000  top
TH2             TH2             NTC_0402            37.7000   -76.8000    0.0000  top
TH3             TH3             NTC_0402            57.7000   -76.8000    0.0000  top
TH4             TH4             NTC_0402            77.7000   -76.8000    0.0000  top
